kaggle_row_idx,student_id,login_frequency,video_watch_time,discussion_posts,task_completion_rate,peer_interaction_count,avg_response_time,assignment_score,exam_score,attendance_rate,stress_level,anxiety_score,motivation_index,resilience_score,intervention_type,engagement_level,post_intervention_mood,risk_level,emotion,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm
10,S0011,11,169.99955262520854,7,0.5416609675689807,48,18.759496635164275,57.59900912370256,65.22012335172994,0.5730084527960542,5,2,4,1,Mindfulness,4,3,medium,Scared,0.14588335524263085,0.3459302890289504,0.4215735571354652,0.75,1.0,1.0
11,S0012,24,83.62768357255824,2,0.5899406479002811,42,4.920637766377768,56.51589940456454,93.70600174397468,0.6445891269282216,2,2,2,5,CBT_Session,4,5,low,Sad,0.2891501026767378,0.4150785367026769,0.8977965461518532,0.25,0.25,1.0
12,S0013,36,66.87279891110131,3,0.812689705368868,33,9.84386371524413,67.28135185180795,98.95914468961416,0.6548826570714517,2,3,4,5,Mindfulness,4,4,medium,Bored,0.3097523197013019,0.7341093771977244,0.9856178659249469,0.75,0.25,1.0
13,S0014,40,156.5972849407498,14,0.9171637376328988,24,8.980055858684475,90.38511845220285,78.22285321021765,0.7609422309637391,3,1,3,4,CBT_Session,5,3,medium,Sad,0.5220276352108972,0.8837416077529577,0.6389514028636655,0.5,0.5,1.0
14,S0015,24,182.56420411312197,5,0.3850467737614357,15,10.931563187478876,62.31741236211509,49.69826162707551,0.831852239463128,2,5,5,4,Mindfulness,1,4,medium,Bored,0.6639520638559049,0.12162066252953574,0.16208121205733583,1.0,0.25,1.0
15,S0016,3,108.38866130989538,14,0.7442474795411663,33,18.980935996360703,53.16267044493398,94.35096339995836,0.690550256805907,4,5,5,5,Peer_Support,2,2,high,Happy,0.3811400380301613,0.6360834592463419,0.9085789262274883,1.0,0.75,1.0
16,S0017,22,175.1386201514151,2,0.7075006653044589,28,12.13597973975837,56.58547676031775,70.97486939200363,0.8597351156566906,5,4,2,5,CBT_Session,3,2,medium,Normal,0.7197588724643815,0.583453081525864,0.5177806083133382,0.25,1.0,1.0
17,S0018,2,267.3635399289159,13,0.3828905274231523,18,19.262332356117145,92.93724842647902,49.22495872617509,0.66808266928979,3,1,5,1,CBT_Session,5,3,medium,Bored,0.33617178053398455,0.1185323932033504,0.154168599391044,1.0,0.5,1.0
18,S0019,24,171.44925958717616,19,0.4483260313080763,22,14.259244772216917,81.68916423736438,95.30360016709967,0.6451418386573802,4,4,3,1,Peer_Support,3,4,high,Normal,0.2902563399770324,0.2122519538599349,0.9245049764074419,0.5,0.75,1.0
19,S0020,44,219.03579793004693,13,0.5177017463128761,18,8.867596997123773,62.66005816849883,85.44814304338618,0.7705940279285122,4,5,5,5,CBT_Session,2,3,medium,Surprised,0.5413454409566805,0.31161485541137013,0.7597428024997043,1.0,0.75,1.0
20,S0021,30,243.5413405337925,3,0.416851749572251,24,19.629511104719867,77.76479126640906,83.90231636338909,0.5118581801528953,4,2,1,3,CBT_Session,4,1,medium,Bored,0.023492769061252083,0.16717312537791396,0.7338998851105073,0.0,0.75,1.0
21,S0022,38,296.73134676707843,11,0.4706106377670392,15,6.480662422721107,76.37898112126751,82.55084222766428,0.5398945618170001,1,1,4,3,Gamified_Task,2,3,low,Happy,0.07960681464038544,0.24416893168915388,0.7113061267706405,0.75,0.0,1.0
22,S0023,2,184.9272466313241,16,0.4873205592031952,8,6.160808535395296,82.77179892203307,52.02038926578654,0.7089847717932636,4,1,3,1,Peer_Support,3,3,medium,Sad,0.41803621195955754,0.26810160436111286,0.20090222188393125,0.5,0.75,1.0
23,S0024,21,243.9865431991499,6,0.5349716831273417,0,12.603567253261222,61.659377721080816,52.66040150245156,0.9714563556958782,1,3,3,2,Gamified_Task,2,2,medium,Happy,0.9433658568044001,0.3363496063451302,0.21160185824952982,0.5,0.0,1.0
24,S0025,33,289.16830238091364,8,0.8245733169608114,41,6.999532657128045,93.22014935971988,81.2975799056353,0.8607558899217118,2,2,4,5,Peer_Support,1,2,low,Normal,0.7218019240364302,0.7511296000322433,0.6903542599965148,0.75,0.25,1.0
25,S0026,12,283.8788204174093,2,0.7003385426954205,18,1.2090018038779755,65.46842810400064,53.183365006623816,0.5440632847502789,1,2,4,4,Mindfulness,2,4,low,Sad,0.08795039875503163,0.5731951795546634,0.2203446900370586,0.75,0.0,1.0
26,S0027,22,50.91373614553694,12,0.990372670365981,32,15.910843127872434,84.70658269881184,66.32030180818293,0.9231590063904368,4,4,3,3,Peer_Support,1,3,medium,Happy,0.8467000426224403,0.9885946096332209,0.43996618894302497,0.5,0.75,1.0
27,S0028,44,127.85376939932138,14,0.5903150788772297,33,12.755157893865157,50.806232318610746,86.92010953563648,0.8661503853040905,5,1,4,2,Peer_Support,2,3,medium,Happy,0.7325988579414491,0.4156148129529148,0.7843509354496171,0.75,1.0,1.0
28,S0029,25,103.9571177209719,17,0.8277055516858474,15,11.246909733342708,68.63285649470737,87.03715108587045,0.8054732628513266,5,4,2,3,Gamified_Task,1,4,medium,Happy,0.6111552688322206,0.7556157221658776,0.7863076199556741,0.25,1.0,1.0
29,S0030,49,35.2082543356013,18,0.9100278949635736,43,23.240275836221254,67.58549089794042,67.19570635155158,0.9101464803045888,2,2,4,2,CBT_Session,1,5,low,Scared,0.8206558301192342,0.8735213450487876,0.4546010814501501,0.75,0.25,1.0
30,S0031,27,193.63982472417857,0,0.7752849451266293,39,14.137581231147015,77.17422142915072,87.53139629651471,0.7020549238714786,4,3,1,5,Peer_Support,2,4,medium,Sad,0.4041663122414578,0.6805366607327848,0.7945703432699788,0.0,0.75,0.0
31,S0032,42,223.41233782684068,5,0.5883053182922471,17,20.858926289155843,53.636813088859824,90.3173077718834,0.6107505254269263,1,1,1,5,CBT_Session,5,2,low,Happy,0.2214230739279146,0.4127363468623849,0.8411448273587802,0.0,0.0,1.0
32,S0033,28,255.95714768539625,1,0.827516241522027,33,4.207355432718684,89.50656868630541,79.28654507705562,0.7560116945543797,5,2,2,5,Peer_Support,4,2,medium,Happy,0.5121593024096429,0.7553445839560723,0.6567340568946506,0.25,1.0,1.0
33,S0034,16,45.605298002185464,13,0.4425669964408794,24,14.091748651976836,60.88904008837842,53.705551138505214,0.774420877796737,3,3,4,1,Gamified_Task,4,3,medium,Normal,0.5490047755492395,0.2040036148770361,0.2290745258217668,0.75,0.5,1.0
34,S0035,15,264.1687820038352,5,0.5292865156260926,44,20.963531414810767,83.8518907441005,56.44070682313285,0.769163186004956,4,5,1,2,Peer_Support,4,2,medium,Happy,0.5384816502622571,0.3282070634006583,0.27480048159616033,0.0,0.75,1.0
35,S0036,47,196.44841344813344,13,0.6826796785695022,5,14.411432417437654,90.16060616220466,58.89046932452412,0.7825368957400527,4,2,5,4,Mindfulness,1,4,medium,Happy,0.565248761889865,0.5479033900929995,0.3157552734663114,1.0,0.75,1.0
36,S0037,44,214.14437919016777,3,0.7027865711003038,20,17.514326096921035,78.09384781207565,47.00824646403712,0.9743524591195905,3,5,4,4,Peer_Support,4,3,medium,Surprised,0.9491623280276513,0.5767013517847112,0.11710990930157072,0.75,0.5,1.0
37,S0038,3,274.08096102668816,7,0.3154990328308406,5,9.55700205968077,87.04416033609928,56.389577222196706,0.9511228115481156,5,4,2,5,Peer_Support,1,4,medium,Sad,0.9026688283232356,0.02201137800204167,0.27394570397442997,0.25,1.0,1.0
38,S0039,37,191.1807686025428,2,0.961579932129206,31,3.126338891852532,83.09301561075029,52.57115345875192,0.9378585182794696,3,5,4,4,CBT_Session,5,4,medium,Surprised,0.8761207107391202,0.9473564038054471,0.21010982175519166,0.75,0.5,1.0
39,S0040,7,107.40109857345216,18,0.787639089852173,40,11.531706787922642,67.77648985760038,67.31972498851613,0.9007084054543135,2,2,3,3,CBT_Session,2,3,low,Scared,0.8017657832981895,0.6982308014855173,0.4566744079305819,0.5,0.25,1.0
40,S0041,21,249.28112611257137,13,0.6469926251623237,47,10.073025989293724,90.44292695167826,94.50625287233588,0.9717140536326428,1,5,3,2,Mindfulness,2,5,medium,Normal,0.9438816321259986,0.49679084769811455,0.911175034224584,0.5,0.0,1.0
41,S0042,9,115.28717153657624,19,0.9531890640858158,42,20.94238419471579,64.7350684942764,46.26881900523748,0.5492473208397016,1,1,1,2,Peer_Support,1,2,low,Surprised,0.09832610418274657,0.9353386394441173,0.10474826295380613,0.0,0.0,1.0
42,S0043,39,19.926152137953444,16,0.6073668956755799,38,6.611891954106862,78.56064588757586,83.21607543684374,0.6325616307228697,5,2,3,2,CBT_Session,1,1,medium,Scared,0.2650774003446086,0.44003716295954687,0.722427403878762,0.5,1.0,1.0
43,S0044,18,250.8898069039224,7,0.9863048991892602,30,23.23488723330749,87.26988695707698,81.23698026478766,0.7475279728272924,3,3,2,3,Peer_Support,5,1,medium,Bored,0.4951793670749789,0.982768571704267,0.6893411635527119,0.25,0.5,1.0
44,S0045,4,110.10572201556992,13,0.6585993300704396,41,23.03717675550341,68.94779549062538,45.74525191980146,0.9232672465617028,4,5,1,1,Gamified_Task,4,1,medium,Sad,0.8469166823435241,0.5134144727957713,0.09599534057789583,0.0,0.75,1.0
45,S0046,25,234.41201172838868,5,0.3800000389985856,9,6.69552779064309,65.13838038087125,95.354344294348,0.7525828557613663,4,1,2,3,Gamified_Task,5,2,medium,Happy,0.5052965760200605,0.11439251058382116,0.9253533097331857,0.25,0.75,1.0
46,S0047,14,115.19978945312418,15,0.8353606807214939,29,9.005194975978371,72.96730050864113,74.10833212940918,0.8740173696707944,4,4,2,2,Mindfulness,2,5,medium,Surprised,0.7483444104386436,0.7665797292781628,0.5701654065010958,0.25,0.75,1.0
47,S0048,9,259.70972579266925,18,0.7752284075544883,17,21.597782040099354,90.89817471745768,61.82353126814105,0.569479952624458,2,4,3,2,Gamified_Task,2,4,medium,Surprised,0.13882115934919925,0.6804556851750668,0.36478979880289886,0.5,0.25,1.0
48,S0049,26,73.65805227347802,13,0.8410907049139107,23,23.232311080610472,96.49608815728324,85.3923150097184,0.62620690648828,2,5,3,2,CBT_Session,4,3,medium,Happy,0.2523585948434288,0.7747865179170842,0.758809477127108,0.5,0.25,1.0
49,S0050,2,292.6187069076723,18,0.9660094201079767,8,11.199099365229014,77.25417064299451,55.44192750409805,0.8658880475188362,4,4,2,4,CBT_Session,2,5,medium,Happy,0.7320737960909129,0.9537005081930906,0.2581030265930526,0.25,0.75,1.0
50,S0051,20,236.13004468852893,2,0.8435425118557127,30,8.38293204974065,83.0733102661826,81.61059022277922,0.582367004443862,5,3,3,1,Mindfulness,1,1,medium,Normal,0.16461423856457236,0.7782981019312388,0.6955871233392098,0.5,1.0,1.0
51,S0052,28,43.12899851691508,9,0.7279356215516528,14,13.100162304785467,95.1636811119457,42.38267245433483,0.6756779673274633,2,2,3,3,Peer_Support,2,2,low,Surprised,0.35137356032780054,0.6127209102705095,0.03978020050745268,0.5,0.25,1.0
52,S0053,47,174.07521979030253,18,0.9001162316525886,3,16.8186917464119,54.92734257064712,90.36448225655631,0.6324331289067857,2,1,3,2,CBT_Session,3,2,low,Surprised,0.26482020749957136,0.859325431886491,0.8419334838919189,0.5,0.25,1.0
53,S0054,7,295.75652055010306,8,0.7712725075481721,39,7.289913853624535,61.60392889330825,66.89025082127911,0.6749308471112392,1,5,4,5,Gamified_Task,4,3,medium,Bored,0.34987821979603817,0.6747898739780548,0.44949451799316564,0.75,0.0,1.0
54,S0055,44,146.60898128120618,19,0.5856833397781461,8,17.938883016238673,85.44500031257913,78.2015748614765,0.8541620245389852,1,4,2,1,CBT_Session,4,4,medium,Scared,0.7086044841149042,0.4089810357575038,0.638595674362009,0.25,0.0,1.0
55,S0056,8,62.81107025825914,12,0.9199338349692412,44,2.188119213636744,91.18722309561498,53.27426918840102,0.6839235905714005,5,2,5,5,Mindfulness,4,5,medium,Bored,0.36787694810736715,0.8877090610455088,0.22186441361952725,1.0,1.0,1.0
56,S0057,47,150.5857264736004,6,0.455330322549061,8,2.133773333581578,92.8514514165289,80.62442275950687,0.7776316613039701,2,3,2,1,Gamified_Task,3,5,medium,Surprised,0.5554310702911278,0.2222838029150025,0.6791005116025634,0.25,0.25,1.0
57,S0058,35,158.61272020575726,13,0.8002488924361069,25,9.88461721834754,70.75535884274663,86.3344165535966,0.5499659385272049,2,4,1,2,Gamified_Task,5,5,medium,Bored,0.09976439768843659,0.7162911064876895,0.774559400896521,0.0,0.25,1.0
58,S0059,14,225.089213826313,8,0.91709441845853,3,9.129883417396574,54.466995114593345,68.39279121306393,0.902508846617314,3,4,3,1,Gamified_Task,1,4,medium,Surprised,0.8053693166889659,0.8836423258313523,0.47461378118177866,0.5,0.5,1.0
59,S0060,17,212.66529741666227,18,0.8119215637923074,16,8.259563953444502,71.889073864981,77.06361544370766,0.6849443128240624,5,1,3,1,Mindfulness,4,4,medium,Sad,0.36991989557811156,0.7330092115872645,0.6195714256501713,0.5,1.0,1.0
60,S0061,36,126.73951264312436,14,0.7880927933376998,15,12.29345454138493,61.536729510352686,67.37955542934391,0.8242670795166712,5,3,5,2,Mindfulness,2,4,medium,Normal,0.6487705751723833,0.6988806152533872,0.4576746449944643,1.0,1.0,1.0
61,S0062,40,73.22670117328508,19,0.8268468058502851,14,8.376872393166138,64.55982274983121,93.64548215547072,0.8626948008309163,3,3,1,5,Peer_Support,1,3,medium,Bored,0.7256826008097914,0.7543857892144007,0.896784788012099,0.0,0.5,1.0
62,S0063,4,197.06570865310553,13,0.625538673810451,34,5.421932124766114,88.61337784187529,69.87215083085914,0.6048304610558501,3,5,4,5,Peer_Support,2,2,medium,Surprised,0.20957422816992977,0.4660635700633122,0.4993455113856252,0.75,0.5,1.0
63,S0064,2,132.29414102045172,5,0.9119194775099182,4,8.11779962903782,53.77635430129435,90.50852254172914,0.942337492476675,1,1,2,4,Peer_Support,1,1,low,Bored,0.8850852542119867,0.8762305514377356,0.8443415295276978,0.25,0.0,1.0
64,S0065,6,48.36010122634581,3,0.4424055325952638,4,23.422798274635404,91.3790608740351,88.08112349621491,0.8081121258034765,5,5,4,5,Mindfulness,1,4,medium,Scared,0.6164368803378739,0.20377235936932836,0.8037606068307511,0.75,1.0,1.0
65,S0066,42,271.1659673585518,7,0.3891704912002375,19,10.455608590881518,71.38345429120845,64.6302892809014,0.7143625708757407,5,1,1,5,Gamified_Task,2,2,medium,Normal,0.4287997286802583,0.1275268291163486,0.41171279243072834,0.0,1.0,1.0
66,S0067,4,210.45433870679977,16,0.499856146082958,14,11.228393867741724,79.80319655502976,53.8050695114485,0.5911675917891097,3,3,5,1,Gamified_Task,2,4,medium,Sad,0.18222837170524908,0.286055614419779,0.2307382602649357,1.0,0.5,1.0
67,S0068,29,208.1233183691896,8,0.6721041777424952,17,14.26053476887622,54.48261156178395,64.36492795358626,0.9711504689506034,4,1,1,4,CBT_Session,1,1,medium,Happy,0.9427536329100314,0.5327567001099368,0.4072765183329713,0.0,0.75,1.0
68,S0069,18,248.54932401438543,0,0.6573932567865366,46,23.61683767352721,66.86795391786399,89.57304254651321,0.8775341020658125,4,1,5,2,Peer_Support,4,4,medium,Happy,0.755383053451423,0.5116870824407462,0.8287023038962337,1.0,0.75,0.0
69,S0070,26,163.6018868099735,19,0.8744191303736106,1,6.556829358022549,54.48504595074229,53.65795214916354,0.6040122813666244,1,1,4,2,Gamified_Task,2,2,low,Bored,0.20793666406043854,0.8225209312861917,0.22827877247808115,0.75,0.0,1.0
70,S0071,44,246.36578423671256,13,0.5831980594828121,28,16.66948854224598,98.07718614405547,71.46618075146496,0.6688553873621123,4,2,4,3,Gamified_Task,3,3,medium,Surprised,0.3377183544695799,0.4054215097577226,0.5259942839079123,0.75,0.75,1.0
71,S0072,34,154.44631851819167,10,0.639041098404056,12,17.467647951459654,90.36308246631252,88.36580487764485,0.9048371290440368,4,2,1,4,Gamified_Task,3,1,medium,Scared,0.810029309828576,0.4854023269396518,0.8085198709304949,0.0,0.75,1.0
72,S0073,10,29.480865975555925,2,0.3093573782815769,3,14.968461586240515,72.98163771782302,61.208648507702726,0.8478388316076695,4,3,1,1,Gamified_Task,1,2,medium,Normal,0.695948787648631,0.01321503455103451,0.35451027355749487,0.0,0.75,1.0
73,S0074,36,127.52194552802972,8,0.5868174655100573,41,3.0373018116428137,61.18012741618355,78.53257822016184,0.8828921463578622,2,1,3,3,Mindfulness,5,5,low,Sad,0.7661070315032708,0.4106053797147379,0.6441293428933789,0.5,0.25,1.0
74,S0075,14,154.26481925416826,13,0.7534419630652394,44,16.56806234403426,96.6727552624926,54.73789444292887,0.7206005511064661,1,3,5,3,Peer_Support,1,5,medium,Sad,0.4412848742736648,0.6492521964788959,0.24633309890679167,1.0,0.0,1.0
75,S0076,31,218.85874867336577,8,0.3108558314386145,9,2.474178353832036,67.22982978634859,46.55676672208959,0.8582381313210834,3,2,3,2,Gamified_Task,1,5,medium,Sad,0.7167626995542709,0.015361184014313745,0.10956213319896912,0.5,0.5,1.0
76,S0077,48,40.90783173731556,3,0.4966173756303706,30,14.71128093964763,58.04922158436874,87.66305350557138,0.6932468614319569,4,1,2,5,Gamified_Task,4,3,medium,Happy,0.38653721790550866,0.28141690720637047,0.7967713703458926,0.25,0.75,1.0
77,S0078,15,50.605376211530206,3,0.4455694515025729,40,18.01036707610008,78.15821942269774,45.93811740452241,0.6056314584690983,2,5,2,1,Gamified_Task,4,4,medium,Normal,0.21117740242737382,0.20830386096007858,0.09921963917059462,0.25,0.25,1.0
78,S0079,8,86.46830276403877,7,0.3293898002367117,7,5.852307484258859,97.1887060172408,56.282883704775074,0.81633851742068,4,2,1,4,Gamified_Task,5,4,medium,Happy,0.632901776546309,0.04190633626125334,0.2721620164547558,0.0,0.75,1.0
79,S0080,14,87.28453407755585,1,0.6354820629401763,2,20.357306173483803,50.19151452501613,91.3065653198464,0.988006962799397,2,2,4,3,CBT_Session,5,4,low,Bored,0.9764914410005316,0.480304922316275,0.857683098705407,0.75,0.25,1.0
80,S0081,23,222.3335277531281,8,0.4272063052597095,47,1.6981375272590982,61.90624216269994,60.78815722472003,0.6553004856976647,1,2,2,1,Gamified_Task,5,3,low,Sad,0.3105885921866922,0.18200336816979878,0.34748055824101465,0.25,0.0,1.0
81,S0082,40,82.71189156286336,13,0.820157077741966,45,20.40769586414104,96.9223820205204,98.38272097084968,0.7304847961062698,4,1,2,2,Gamified_Task,5,5,medium,Normal,0.461067918358288,0.7448044710919598,0.9759812936377922,0.25,0.75,1.0
82,S0083,21,193.5984383736598,8,0.8935495186343438,8,11.587568164783598,58.554298342858104,98.7840600864316,0.8370006855349268,2,4,3,3,Gamified_Task,5,4,medium,Sad,0.6742565368437479,0.8499203013000424,0.9826908256592323,0.5,0.25,1.0
83,S0084,16,153.3394165400987,15,0.6819096278684034,29,6.004522618427823,55.662172581990994,56.0965612272134,0.7707531410612439,5,5,3,3,CBT_Session,1,3,medium,Happy,0.5416639015087346,0.5468004901517506,0.2690471029539836,0.5,1.0,1.0
84,S0085,45,176.25536967202618,16,0.9871951397647992,10,4.076897334861265,78.50936078999023,42.45869333499343,0.9217138978545246,5,5,2,2,Mindfulness,1,3,medium,Happy,0.8438076976963904,0.9840436127854039,0.04105110711304827,0.25,1.0,1.0
85,S0086,18,253.05101932170575,15,0.6153350000294167,34,22.926064854394568,93.0921911647415,82.30379705232275,0.880871353234758,2,3,1,2,CBT_Session,3,2,medium,Happy,0.7620624697344085,0.4514494268678477,0.7071760595772324,0.0,0.25,1.0
86,S0087,47,127.27063544921704,11,0.6593577471574408,36,2.671308514366604,73.85549088469631,67.05919015890062,0.5291486019311785,4,1,3,2,Gamified_Task,3,4,medium,Sad,0.058099071949160974,0.5145007105714169,0.4523188225561757,0.5,0.75,1.0
87,S0088,24,233.56429934863843,2,0.992452427770425,41,5.57914865852629,99.72821283422624,46.04517063757458,0.9992106169618872,4,2,2,1,Mindfulness,2,5,medium,Normal,0.998915246178349,0.9915733281979858,0.1010093403666038,0.25,0.75,1.0
88,S0089,26,132.3904572696993,10,0.4620839051755341,12,8.999913990960057,83.95858497689964,82.45136913868257,0.8762012268597337,1,4,4,1,Gamified_Task,1,1,medium,Normal,0.7527153404433296,0.23195657624191246,0.7096431493785001,0.75,0.0,1.0
89,S0090,25,112.62269920276232,13,0.9597821577738336,35,15.265401526105771,53.70374536052239,41.87049454671527,0.9319516581470566,1,1,3,1,Mindfulness,5,3,low,Bored,0.864298292901081,0.9447815535675476,0.031217680836612915,0.5,0.0,1.0
90,S0091,45,288.00188142083397,17,0.3299862885833792,12,13.530424961350263,99.64160658409877,92.21180142953452,0.8255988560476732,3,1,2,5,Gamified_Task,2,2,medium,Sad,0.6514360892125759,0.04276065268685558,0.8728167112268522,0.25,0.5,1.0
91,S0092,41,63.46756699689933,4,0.6124708231842363,11,3.889800325483222,70.39471183900952,48.31915174679823,0.9281425640233812,1,4,5,3,Gamified_Task,4,1,medium,Bored,0.856674495942118,0.44734722883105826,0.13902544314881993,1.0,0.0,1.0
92,S0093,29,36.197718567506286,15,0.349002458493146,36,7.663743625978936,64.37012669227413,47.6387127248035,0.5561914874643548,4,2,3,1,Mindfulness,1,3,medium,Scared,0.1122246623901979,0.0699964342351797,0.12764995735772922,0.5,0.75,1.0
93,S0094,15,233.58591840528877,19,0.81046432003955,9,6.491290734978554,77.89395917889428,50.54033787811507,0.6738689177796577,3,1,5,5,Mindfulness,3,2,medium,Bored,0.34775279749197274,0.7309220840163032,0.1761589267666337,1.0,0.5,1.0
94,S0095,45,29.79241455268656,4,0.7258862551160123,8,5.911485653277852,65.21537959104322,97.615981509524,0.9382104718022464,1,5,3,3,Gamified_Task,1,4,medium,Bored,0.876825136019652,0.6097857189665602,0.9631630489959581,0.5,0.0,1.0
95,S0096,1,252.75290730387852,2,0.7946439844273174,6,10.456319739039705,54.322875356007614,81.59016161523076,0.6008276056334461,2,5,3,1,CBT_Session,1,2,medium,Bored,0.201562623309127,0.7082635146618804,0.6952456006937006,0.5,0.25,1.0
96,S0097,25,136.78608494360063,11,0.5621362799776118,1,17.19272340960811,50.07141715395883,88.08229212781819,0.5391210492900114,5,4,5,2,CBT_Session,1,3,high,Happy,0.07805865062565998,0.3752559176145863,0.803780143852833,1.0,1.0,1.0
97,S0098,7,275.49896641465506,0,0.5586373538219662,22,6.001417440996427,72.47916764601311,63.85809914396518,0.8940594699726094,1,2,1,4,CBT_Session,1,4,low,Scared,0.7884581220905829,0.37024460414394167,0.39880342414525327,0.0,0.0,0.0
98,S0099,9,219.24452972535263,8,0.3317234952726262,38,9.433614233168573,91.8431711113296,60.178763650297334,0.917743077821648,1,4,2,1,CBT_Session,4,5,medium,Bored,0.835860210785244,0.04524875529201361,0.33729280045089627,0.25,0.0,1.0
99,S0100,24,187.01735343230771,8,0.5449614576707478,39,9.991100817346732,78.61575928150383,54.0690404069902,0.5813261090949503,2,1,1,4,Mindfulness,3,2,low,Normal,0.1625309151973946,0.35065739379508754,0.23515128931593465,0.0,0.25,1.0
100,S0101,1,285.298971146752,3,0.9505018815834416,38,23.458500177014432,99.96036494717204,68.83888169874453,0.9271729913913578,4,5,1,1,Mindfulness,1,1,medium,Bored,0.8547339230280566,0.9314899403652585,0.48207146044086124,0.0,0.75,1.0
101,S0102,44,125.02831818509574,2,0.5654585760263142,20,22.957326208218586,64.34233228236,73.10972401205011,0.8433838977985848,2,3,2,2,CBT_Session,4,4,medium,Happy,0.6870323603503445,0.3800142538016671,0.5534708136240077,0.25,0.25,1.0
102,S0103,8,286.68521159649356,16,0.8819573943553789,22,19.403164403297747,64.02275323800276,77.90649061916533,0.760041341608292,1,4,4,4,Peer_Support,2,4,medium,Surprised,0.5202245299828769,0.8333175592104928,0.6336624966677827,0.75,0.0,1.0
103,S0104,24,49.150370452150014,1,0.8896278533249538,28,6.558155178841258,57.98747301169721,55.427110239921674,0.9151250963906924,4,3,1,5,Peer_Support,1,5,medium,Scared,0.8306203930690352,0.8443035225176162,0.25785531361267855,0.0,0.75,1.0
104,S0105,11,150.2889331603997,0,0.5612688094654636,13,2.564858224108403,58.20317941326676,96.91924485417944,0.7096246246594828,3,3,1,2,Peer_Support,4,2,medium,Surprised,0.4193168598451915,0.37401348880370644,0.9515151016166769,0.0,0.5,0.0
105,S0106,17,88.27425449373652,7,0.7423920762773323,25,8.288795167574369,64.25932980050239,50.18550989242815,0.5969969781116986,1,5,1,4,Gamified_Task,5,1,medium,Surprised,0.19389572784710563,0.6334260703916136,0.17022696140457938,0.0,0.0,1.0
106,S0107,8,166.5544058833761,12,0.366760121591141,4,7.13627463697811,89.64200226367636,97.93919048598474,0.6424263383053068,2,4,4,4,CBT_Session,2,5,medium,Scared,0.28482134082657184,0.09542972786058679,0.9685664121195247,0.75,0.25,1.0
