kaggle_idx,zenodo_idx,bridge_distance,kaggle_cluster_id,zenodo_cluster_id
216,93,0.257198,4,0
217,2135,0.076634,4,0
218,8424,0.056006,0,2
219,6662,0.097263,3,1
220,4877,0.250289,2,0
221,7885,0.358649,1,0
222,1513,0.013913,4,0
223,10018,0.251317,2,0
224,4135,0.07221,1,2
225,1299,0.265023,0,0
226,1745,0.25592,0,2
227,4544,0.260426,1,2
228,8563,0.029167,2,0
229,8282,0.048799,1,2
230,735,0.119197,2,0
231,6709,0.354596,4,0
232,9626,0.359794,2,0
233,12044,0.254763,4,0
234,13916,0.251383,1,0
235,13857,0.258646,0,2
236,10895,0.102491,4,0
237,12406,0.116392,2,0
238,6238,0.253266,2,0
239,11075,0.055483,1,2
240,6120,0.05072,0,2
241,12115,0.045678,1,0
242,12394,0.250604,1,2
243,6564,0.0546,0,2
244,5293,0.172983,2,0
245,6871,0.086683,0,2
246,2880,0.25784,1,2
247,9688,0.080934,4,0
248,13585,0.057676,1,2
249,9658,0.259925,2,0
250,13797,0.081789,2,0
251,10545,0.25977,0,2
252,12213,0.160504,3,1
253,11443,0.117063,2,0
254,530,0.052337,1,2
255,7502,0.075387,4,0
256,13024,0.255381,2,0
257,10788,0.264528,4,0
258,4684,0.049461,1,0
259,11533,0.056506,4,0
260,2022,0.015799,1,2
261,3442,0.250474,1,2
262,7634,0.355114,0,0
263,3161,0.259329,2,0
264,11079,0.077415,1,2
265,4479,0.262823,0,0
266,4037,0.029918,1,2
267,10729,0.357472,0,0
268,1076,0.355497,2,0
269,9090,0.259755,4,0
270,6811,0.254897,1,2
271,9912,0.255037,4,0
272,9482,0.255228,2,0
273,1277,0.254964,4,0
274,3496,0.08719,4,0
275,5142,0.280726,2,0
276,9579,0.256452,3,1
277,13637,0.35484,4,0
278,7487,0.068088,4,0
279,539,0.354654,1,2
280,2636,0.261784,1,0
281,6749,0.090682,1,2
282,5895,0.355753,4,0
283,10065,0.103284,3,1
284,2629,0.045517,3,1
285,2331,0.063652,1,2
286,8487,0.079497,1,2
287,4176,0.261453,1,0
288,12862,0.254272,4,0
289,7834,0.256514,0,2
290,12709,0.360492,2,0
291,308,0.064984,4,0
292,9538,0.361886,4,0
293,5405,0.359019,0,2
294,12203,0.270852,1,2
295,3645,0.089259,4,0
296,6741,0.35611,2,0
297,6106,0.075181,0,2
298,2140,0.258314,2,0
299,9616,0.367385,4,0
300,12586,0.26141,2,0
301,13340,0.2602,0,2
302,9018,0.255473,1,0
303,5971,0.262764,1,2
304,10571,0.270348,3,1
305,9605,0.266594,2,0
306,11931,0.251271,1,2
307,5005,0.257721,1,2
308,1624,0.070042,4,0
309,12853,0.359234,4,0
310,13065,0.256906,2,0
311,5167,0.03477,4,0
312,482,0.252851,2,0
313,13964,0.063674,1,2
314,2776,0.256066,1,0
315,10535,0.259748,4,0
316,4667,0.041031,1,2
317,1691,0.263782,1,2
318,4605,0.254132,0,0
319,7524,0.26131,4,0
320,8925,0.363662,2,0
321,8273,0.250978,1,2
322,2431,0.274282,4,0
323,12732,0.073959,0,0
324,7059,0.260453,0,2
325,2140,0.253056,0,0
326,10014,0.251387,2,0
327,8748,0.255812,4,0
328,1910,0.36081,2,0
329,12631,0.254254,2,0
330,9168,0.260415,1,0
331,12246,0.251916,2,0
332,7477,0.090939,0,0
333,1178,0.253052,0,2
334,3815,0.11771,4,0
335,2906,0.067821,1,2
336,10053,0.261304,2,0
337,12672,0.252327,1,2
338,204,0.05355,0,0
339,13176,0.257413,0,2
340,6015,0.035385,1,2
341,1464,0.263889,2,0
342,3688,0.266729,2,0
343,12061,0.269634,1,2
344,12207,0.273495,0,2
345,6033,0.36118,2,0
346,10329,0.094644,4,0
347,13157,0.360589,2,0
348,2130,0.096291,4,0
349,5385,0.060825,1,0
350,10275,0.255106,0,2
351,13256,0.355388,0,2
352,9505,0.255159,4,0
353,12611,0.251477,2,0
354,10236,0.261103,2,0
355,11361,0.358708,4,0
356,12851,0.262051,0,2
357,4428,0.101898,2,0
358,2109,0.081665,0,2
359,3598,0.052549,4,0
360,6277,0.031583,3,1
361,7917,0.256365,0,2
362,10405,0.025587,2,0
363,9249,0.258821,0,2
364,9324,0.260646,2,0
365,3959,0.252033,1,0
366,11932,0.041214,2,0
367,4467,0.354902,4,0
368,2615,0.097491,4,0
369,349,0.354988,1,2
370,12435,0.251142,2,0
371,12172,0.112098,4,0
372,7652,0.264704,2,0
373,1136,0.250869,0,0
374,6774,0.273409,4,0
375,12204,0.355592,2,0
376,7202,0.25433,1,0
377,10579,0.255223,2,0
378,1855,0.096492,0,2
379,2166,0.252621,4,0
380,7838,0.258737,4,0
381,10448,0.252683,4,0
382,3617,0.074262,2,0
383,9866,0.355055,0,0
384,10076,0.250505,2,0
385,8866,0.265103,2,0
386,5300,0.024199,1,2
387,8814,0.052784,0,2
388,13785,0.087543,4,0
389,9607,0.255131,2,0
390,11329,0.074257,0,2
391,10785,0.2596,1,2
392,2673,0.255492,4,0
393,6352,0.256644,1,2
394,8027,0.259993,0,2
395,9569,0.022304,2,0
396,10803,0.257406,4,0
397,11622,0.253535,0,2
398,12821,0.278689,4,0
399,7612,0.251562,1,0
400,6358,0.256601,1,2
401,13157,0.263063,2,0
402,10187,0.36083,0,2
403,11128,0.067696,2,0
404,5214,0.258339,1,0
405,2172,0.253043,1,0
406,8376,0.069443,3,1
407,12995,0.264803,4,0
408,9999,0.253075,0,2
409,11703,0.257397,4,0
410,10654,0.251728,1,2
411,11524,0.049784,1,2
412,13899,0.358719,4,0
413,6741,0.255034,2,0
414,12276,0.356841,0,2
415,9014,0.118962,2,0
416,8197,0.275079,4,0
417,5174,0.065375,4,0
418,10515,0.356782,4,0
419,287,0.261349,2,0
420,4861,0.260954,2,0
421,11944,0.259929,2,0
422,7083,0.254807,4,0
423,2390,0.26467,4,0
424,13911,0.359396,4,0
425,8941,0.253839,0,2
426,10413,0.253443,1,0
427,593,0.261597,1,0
428,6529,0.360057,1,2
429,6391,0.043096,1,2
430,6038,0.166081,3,1
431,4302,0.260944,1,0
432,13825,0.251284,0,2
433,8367,0.08871,0,2
434,5284,0.251111,0,2
435,4392,0.137074,0,0
436,13981,0.02554,1,0
437,4004,0.076746,1,2
438,13201,0.250899,0,0
439,839,0.266735,2,0
440,115,0.271255,2,0
441,13069,0.254868,4,0
442,13004,0.355705,1,2
443,11116,0.254526,0,2
444,1133,0.362526,2,0
445,2513,0.37015,4,0
446,3588,0.25024,1,2
447,13413,0.251284,2,0
448,12758,0.367039,2,2
449,1374,0.354861,4,0
450,13043,0.35539,4,0
451,4764,0.354839,1,2
452,7913,0.050153,1,2
453,12760,0.356337,1,2
454,7870,0.074499,2,0
455,9755,0.260387,4,0
456,12395,0.06503,1,0
457,13667,0.272555,4,0
458,11703,0.106429,4,0
459,12882,0.074956,0,0
460,6770,0.103102,3,1
461,13157,0.35841,0,0
462,5775,0.252866,1,2
463,7100,0.260175,3,1
464,8724,0.259129,2,0
465,4522,0.126734,2,0
466,567,0.252219,0,2
467,4416,0.271296,4,0
468,3422,0.044608,0,2
469,2606,0.355703,0,0
470,7307,0.275799,4,0
471,8981,0.265007,3,1
472,13965,0.257939,1,2
473,10913,0.357319,4,0
474,12925,0.048754,0,2
475,2730,0.253612,4,0
476,10103,0.074706,0,0
477,607,0.257528,2,0
478,1524,0.038583,4,0
479,771,0.263879,4,0
480,7641,0.251012,4,0
481,1524,0.252701,2,0
482,2140,0.273976,2,0
483,7826,0.360401,2,0
484,4730,0.082864,4,0
485,1110,0.258036,0,0
486,7164,0.267451,2,0
487,2585,0.034574,4,0
488,11526,0.270692,4,0
489,7208,0.253739,0,0
490,221,0.354304,0,2
491,7902,0.051195,4,0
492,10073,0.35899,1,2
493,10545,0.255902,0,2
494,13893,0.259792,4,0
495,537,0.043648,2,0
496,1094,0.256767,0,0
497,2790,0.258986,0,2
498,283,0.063078,2,0
499,6086,0.045449,4,0
500,13741,0.11087,1,2
501,5174,0.252584,4,0
502,6256,0.355884,4,0
503,9540,0.357338,2,0
504,8418,0.356318,1,2
505,4757,0.358346,2,0
506,6250,0.269653,2,0
507,9779,0.254198,1,2
508,7296,0.253121,1,0
509,8109,0.251151,1,2
510,6809,0.259426,1,2
511,13389,0.356296,2,0
512,2307,0.257735,3,1
513,8379,0.368411,4,0
514,2388,0.263729,4,0
515,5283,0.355342,1,0
516,5260,0.354389,2,0
517,692,0.100664,2,0
518,7474,0.044026,4,0
519,93,0.098826,4,0
520,13911,0.255314,4,0
521,13467,0.263083,0,0
522,4461,0.367337,2,0
523,13613,0.263924,4,0
524,3710,0.262422,0,0
525,7359,0.358384,0,2
526,13165,0.252078,0,0
527,11215,0.254564,0,0
528,9030,0.359707,2,0
529,8559,0.26391,0,2
530,2861,0.086414,2,0
531,12689,0.081437,0,2
532,1720,0.356731,1,2
533,11629,0.033269,1,2
534,2139,0.264349,2,0
535,8262,0.261223,0,2
536,7227,0.048981,2,0
537,2706,0.255697,2,0
538,6247,0.250393,2,0
539,9554,0.267472,4,0
540,592,0.263113,1,2
541,8424,0.256203,0,2
542,3963,0.072316,2,0
543,5214,0.060832,1,0
544,290,0.065827,2,0
545,8993,0.353961,1,2
546,5735,0.074677,4,0
547,8778,0.059549,4,0
548,3398,0.09251,4,0
549,7599,0.10288,0,2
550,13051,0.13434,0,0
551,10416,0.049761,1,0
552,2555,0.070851,1,0
553,9720,0.027696,2,0
554,13261,0.356833,1,2
555,8635,0.096096,4,0
556,9073,0.257714,3,1
557,10599,0.268945,4,0
558,2706,0.060498,0,0
559,10997,0.359025,2,0
560,10939,0.080003,4,0
561,7437,0.251885,0,0
562,9942,0.255637,4,0
563,9730,0.253915,4,0
564,10439,0.266597,4,0
565,337,0.085492,2,0
566,8011,0.355175,1,2
567,1824,0.250946,4,0
568,11369,0.032576,1,2
569,3611,0.355868,2,0
570,13953,0.255626,4,0
571,9857,0.354902,4,0
572,1697,0.256662,0,2
573,7519,0.279356,0,2
574,6349,0.255433,1,2
575,4693,0.36104,4,0
576,12722,0.256259,3,1
577,8563,0.261518,2,0
578,12954,0.250852,1,2
579,11203,0.358582,0,0
580,12421,0.12332,2,0
581,5260,0.253028,0,0
582,5917,0.047676,3,1
583,956,0.045257,0,2
584,11850,0.098038,0,2
585,5055,0.251708,4,0
586,8344,0.253053,1,0
587,10141,0.260174,2,0
588,10972,0.253632,4,0
589,9584,0.261043,4,0
590,2710,0.028778,4,0
591,12395,0.251786,1,0
592,9190,0.136993,4,0
593,3014,0.266908,2,0
594,13582,0.263879,0,2
595,2246,0.260609,2,0
596,1281,0.253348,1,0
597,1527,0.358114,1,2
598,12724,0.260088,1,2
599,3251,0.251216,0,2
600,3558,0.359742,1,0
601,12536,0.35568,0,2
602,1167,0.353586,0,0
603,12080,0.106767,4,0
604,12786,0.093739,4,0
605,3992,0.355924,4,0
606,12369,0.255492,1,2
607,7977,0.085082,0,2
608,9922,0.05055,2,0
609,6000,0.354739,4,0
610,1071,0.252487,4,0
611,13859,0.255835,4,0
612,4442,0.357282,0,2
613,11590,0.258548,1,2
614,13921,0.116321,2,0
615,12862,0.253595,4,0
616,3284,0.254129,4,0
617,2141,0.091016,0,2
618,13582,0.029454,0,2
619,9319,0.103152,2,0
620,11008,0.078204,1,2
621,6824,0.250121,3,1
622,9834,0.253427,2,0
623,12086,0.259978,4,0
624,7437,0.256555,0,0
625,5694,0.076197,2,0
626,10833,0.078638,0,2
627,1524,0.355012,2,0
628,13996,0.078046,4,0
629,8748,0.055604,4,0
630,7884,0.359873,1,2
631,2262,0.023864,0,2
632,10292,0.083255,0,2
633,8867,0.266916,2,0
634,12388,0.279825,2,0
635,10934,0.117602,4,0
636,12337,0.06048,0,2
637,8581,0.259048,3,1
638,2508,0.256758,4,0
639,8883,0.030811,4,0
640,9499,0.072312,4,0
641,6309,0.251156,0,2
642,3075,0.257762,0,2
643,12978,0.260804,1,2
644,5533,0.012297,4,0
645,13561,0.358418,2,0
646,12525,0.36272,4,0
647,2433,0.251969,4,0
648,13579,0.267381,0,2
649,13999,0.254953,2,0
650,12741,0.267605,0,2
651,3838,0.15082,1,0
652,2889,0.103849,2,0
653,1865,0.037246,1,2
654,8859,0.261385,0,0
655,4135,0.25727,1,2
656,9843,0.251445,4,0
657,10948,0.082344,0,2
658,9540,0.256517,2,0
659,8084,0.085167,1,2
660,2605,0.256825,0,2
661,586,0.250787,0,2
662,309,0.25101,4,0
663,6981,0.253166,4,0
664,10524,0.071528,4,0
665,4482,0.252811,1,0
666,7577,0.174877,3,1
667,3719,0.255147,0,2
668,12409,0.266059,4,0
669,7190,0.356573,1,2
670,4194,0.251216,1,2
671,12786,0.021996,4,0
672,5163,0.250381,0,0
673,10960,0.25129,1,0
674,6352,0.055676,1,2
675,8315,0.270662,1,0
676,13568,0.255448,1,2
677,7651,0.358474,0,0
678,692,0.057713,2,0
679,1519,0.253773,4,0
680,9887,0.261448,3,1
681,1991,0.262929,4,0
682,4389,0.251187,4,0
683,10591,0.09928,1,0
684,10456,0.356031,0,2
685,3740,0.253831,4,0
686,8677,0.260665,4,0
687,10482,0.250622,2,0
688,3468,0.057256,4,0
689,9634,0.35628,4,0
690,4010,0.256443,2,0
691,3628,0.358617,1,0
692,2748,0.252408,2,0
693,1270,0.077831,0,2
694,5283,0.356638,1,0
695,8677,0.253033,4,0
696,13419,0.353743,3,1
697,7205,0.062318,1,2
698,12993,0.266085,0,2
699,6381,0.258512,4,0
700,5860,0.256738,1,2
701,8282,0.077248,1,2
702,529,0.258703,1,0
703,11331,0.090311,0,2
704,2001,0.360268,0,2
705,11615,0.255419,1,0
706,10797,0.256629,0,2
707,13101,0.25839,1,2
708,7823,0.104747,4,0
709,7698,0.087346,0,2
710,8728,0.10241,4,0
711,7556,0.066155,1,2
712,5954,0.258398,4,0
713,3007,0.063722,2,0
714,7000,0.257257,0,2
715,12807,0.267265,2,0
716,12957,0.12293,4,0
717,12935,0.253901,2,0
718,2748,0.258871,2,0
719,5163,0.046082,4,0
720,4368,0.364465,4,0
721,6112,0.356638,0,2
722,6039,0.255984,0,2
723,3710,0.360978,4,0
724,9168,0.359479,2,0
725,12548,0.257524,4,0
726,1076,0.259566,4,0
727,13888,0.25541,4,0
728,4830,0.354963,1,2
729,6420,0.052786,4,0
730,12370,0.261766,0,2
731,6981,0.10043,4,0
732,4229,0.25909,3,1
733,11435,0.115363,4,0
734,1374,0.252752,0,0
735,9126,0.076696,2,0
736,6886,0.265427,4,0
737,10835,0.257143,0,2
738,944,0.365368,0,2
739,4368,0.257904,4,0
740,7354,0.254128,1,2
741,9690,0.358909,4,0
742,11274,0.044051,0,0
743,11933,0.073072,0,2
744,10170,0.277837,4,0
745,11663,0.250568,1,2
746,9269,0.35578,2,0
747,12547,0.251617,0,2
748,12126,0.263925,3,1
749,1328,0.094219,2,0
750,226,0.254448,1,2
751,4523,0.25841,0,2
752,12777,0.049217,0,0
753,10656,0.257223,4,0
754,10016,0.272948,4,0
755,3588,0.252319,0,2
756,12630,0.083574,0,0
757,10454,0.358349,2,0
758,12482,0.116738,2,0
759,11849,0.253881,0,2
760,8859,0.258204,2,0
761,13329,0.26327,4,0
762,12135,0.356923,4,0
763,11674,0.35382,1,0
764,7127,0.021312,1,2
765,3846,0.075453,2,0
766,8107,0.25091,1,2
767,3318,0.271458,4,0
768,1281,0.06586,4,0
769,6370,0.157259,3,1
770,9804,0.266646,1,2
771,9804,0.25779,1,2
772,893,0.269007,2,0
773,13892,0.255418,4,0
774,830,0.25516,4,0
775,7264,0.101466,4,0
776,8735,0.250942,4,0
777,11259,0.256265,2,0
778,4370,0.356727,0,0
779,1723,0.357639,0,2
780,8373,0.258456,1,2
781,8866,0.056575,2,0
782,4735,0.253955,0,2
783,2377,0.357262,0,2
784,3189,0.04577,0,2
785,11751,0.120773,2,0
786,12121,0.261429,0,2
787,2702,0.258095,2,0
788,5331,0.271327,2,0
789,9030,0.354817,0,0
790,1315,0.257392,1,0
791,12306,0.25251,1,2
792,8910,0.068534,0,2
793,12957,0.261746,4,0
794,2130,0.251967,4,0
795,9925,0.041163,1,2
796,12706,0.083412,0,0
797,9924,0.253006,4,0
798,4377,0.087945,1,2
799,6943,0.356072,1,2
800,2032,0.023411,1,2
801,5990,0.253878,0,0
802,7965,0.26285,1,2
803,10911,0.354816,4,0
804,12733,0.258017,2,0
805,12424,0.267508,1,2
806,1913,0.264307,0,2
807,785,0.274997,3,1
808,576,0.036063,4,0
809,10441,0.135998,2,0
810,11586,0.086919,1,2
811,1164,0.253959,4,0
812,10864,0.068361,4,0
813,4416,0.259677,4,0
814,4267,0.053005,0,2
815,10828,0.25346,2,0
816,12932,0.357402,4,0
817,12115,0.271354,4,0
818,2518,0.254981,1,2
819,13565,0.254799,2,0
820,9460,0.062808,0,2
821,12821,0.25947,4,0
822,13338,0.073596,0,2
823,12623,0.262525,2,0
824,2242,0.084801,4,0
825,13893,0.259938,4,0
826,11642,0.128336,2,0
827,4364,0.258152,1,2
828,7029,0.026343,4,0
829,11288,0.057971,1,2
830,3948,0.07629,1,0
831,13197,0.092275,1,0
832,3279,0.26005,0,2
833,11124,0.255024,1,0
834,3831,0.257608,2,0
835,95,0.129386,0,0
836,11521,0.094613,3,1
837,12149,0.253027,1,2
838,10329,0.135906,4,0
839,13154,0.35702,0,0
840,2256,0.26072,1,0
841,13752,0.361515,1,2
842,6116,0.08522,0,0
843,397,0.072894,1,2
844,10228,0.084947,0,2
845,9743,0.079122,0,0
846,9202,0.25135,0,2
847,8405,0.053728,1,2
848,2393,0.063652,1,0
849,152,0.258135,2,0
850,7840,0.052733,2,0
851,3724,0.278002,4,0
852,10642,0.065446,1,2
853,2240,0.253608,4,0
854,13587,0.075306,3,1
855,4851,0.25778,4,0
856,6731,0.051014,3,1
857,6729,0.104478,0,0
858,3606,0.257461,2,0
859,2612,0.258601,1,2
860,3651,0.257992,1,0
861,12421,0.253429,2,0
862,3844,0.26459,2,0
863,9342,0.272484,0,2
864,10734,0.062906,2,0
865,4607,0.356774,3,1
866,12432,0.251374,0,2
867,9572,0.071215,2,0
868,4008,0.25016,1,2
869,10237,0.255803,0,2
870,6725,0.256466,1,2
871,5576,0.264944,4,0
872,6081,0.358719,1,2
873,2393,0.056507,1,0
874,13300,0.251882,1,2
875,1169,0.07745,1,2
876,10773,0.064012,1,0
877,2603,0.356325,1,2
878,10323,0.145758,2,0
879,2508,0.257662,4,0
880,115,0.256407,2,0
881,12596,0.031116,1,0
882,10535,0.355125,1,0
883,11286,0.252498,1,2
884,5691,0.354542,4,0
885,2484,0.355345,4,0
886,11696,0.255492,1,2
887,9140,0.355189,2,0
888,3992,0.255834,4,0
889,1964,0.251639,0,2
890,13926,0.086874,2,0
891,6039,0.250791,0,2
892,3540,0.254248,0,2
893,9755,0.36117,4,0
894,12459,0.048761,1,2
895,9013,0.026579,2,0
896,11513,0.355204,4,0
897,11820,0.258959,1,2
898,301,0.119329,4,0
899,9363,0.265151,2,0
900,3681,0.038188,2,0
901,4300,0.256302,2,0
902,4851,0.137687,4,0
903,7761,0.25472,4,0
904,1158,0.357401,3,1
905,12815,0.252038,1,2
906,9137,0.358115,4,0
907,11503,0.250772,4,0
908,7838,0.260067,1,0
909,7643,0.354576,0,2
910,5805,0.251724,2,0
911,377,0.362777,2,0
912,6908,0.256004,2,0
913,12683,0.260851,1,2
914,13906,0.254054,1,2
915,9472,0.250765,0,2
916,3343,0.25924,4,0
917,9748,0.253454,1,0
918,10675,0.124234,4,0
919,8869,0.35597,2,0
920,521,0.078721,4,0
921,6260,0.109516,4,0
922,1621,0.359528,0,0
923,1675,0.047488,0,2
924,11927,0.250369,1,0
925,12406,0.260216,2,0
926,11658,0.251882,2,0
927,7098,0.050799,4,0
928,11562,0.255767,4,0
929,10502,0.107297,0,2
930,2222,0.057875,0,2
931,7302,0.256103,4,0
932,11230,0.104392,4,0
933,4843,0.261946,2,0
934,13287,0.260025,2,0
935,13935,0.072261,4,0
936,6179,0.173804,2,0
937,10515,0.266268,4,0
938,6381,0.096423,4,0
939,13008,0.06263,4,0
940,9351,0.10174,2,0
941,4960,0.054333,0,2
942,5187,0.35745,0,2
943,6769,0.085082,0,2
944,4061,0.267635,4,0
945,365,0.077285,2,0
946,12747,0.356419,0,2
947,13943,0.254985,2,0
948,6837,0.262256,4,0
949,13962,0.357955,4,0
950,8311,0.074505,2,0
951,5633,0.3566,4,0
952,8744,0.072875,2,0
953,1466,0.265956,0,0
954,6774,0.358294,4,0
955,7592,0.358219,4,0
956,807,0.257628,1,2
957,12352,0.354339,1,0
958,4581,0.060126,1,0
959,8571,0.26119,0,2
960,6452,0.100525,2,0
961,3602,0.053358,2,0
962,8821,0.059674,4,0
963,11392,0.050292,2,0
964,1484,0.257805,0,2
965,11703,0.264954,4,0
966,7869,0.089333,1,2
967,5791,0.114428,3,1
968,10657,0.065202,0,2
969,6381,0.271337,4,0
970,11124,0.358924,4,0
971,11918,0.129999,2,0
972,11585,0.251853,0,2
973,5822,0.081836,1,0
974,13974,0.042452,2,0
975,1920,0.358675,1,2
976,13594,0.360821,1,0
977,9858,0.265423,3,1
978,11392,0.257744,2,0
979,7634,0.354456,2,0
980,8939,0.357284,2,0
981,12098,0.35973,0,2
982,12909,0.061317,2,0
983,10830,0.074345,2,0
984,4690,0.257158,4,0
985,2630,0.081487,4,0
986,11334,0.250787,2,0
987,13626,0.051467,1,2
988,13243,0.037603,4,0
989,9549,0.253946,4,0
990,11902,0.25335,2,0
991,13584,0.26722,2,0
992,1106,0.262382,2,0
993,8402,0.082311,1,2
994,6291,0.356505,4,0
995,12328,0.356266,1,2
996,4695,0.358059,3,1
