persona_id,enrollment_id,gender,match_score,result_match,engagement_match,n_weeks,rank
P0005,1431750_BBB_2014B,M,0.9902,True,True,34,2
P0005,2609069_CCC_2014J,M,0.9893,True,True,39,3
P0005,539670_BBB_2013J,M,0.9886,True,True,39,4
P0005,598313_BBB_2014B,M,0.9882,True,True,34,5
P0005,2342238_GGG_2014J,M,0.9876,True,True,39,6
P0005,678313_GGG_2014J,M,0.9856,True,True,39,7
P0005,656014_GGG_2014J,M,0.9835,True,True,39,8
P0005,548344_BBB_2013B,M,0.9824,True,True,35,9
P0005,690932_DDD_2014J,M,0.9823,True,True,38,10
P0006,358001_BBB_2014J,F,0.9991,True,True,38,1
P0006,696844_BBB_2014J,F,0.9984,True,True,38,2
P0006,623169_BBB_2014B,F,0.9981,True,True,34,3
P0006,606069_BBB_2014B,F,0.9978,True,True,34,4
P0006,572663_GGG_2013J,F,0.9977,True,True,38,5
P0006,1777563_GGG_2014J,F,0.9975,True,True,39,6
P0006,582940_BBB_2013J,F,0.9961,True,True,39,7
P0006,508940_BBB_2014B,F,0.9949,True,True,34,8
P0006,488445_GGG_2014B,F,0.9947,True,True,35,9
P0006,541890_GGG_2014B,F,0.9938,True,True,35,10
P0007,635325_EEE_2014J,M,0.9942,True,True,39,1
P0007,622935_CCC_2014J,M,0.9939,True,True,39,2
P0007,199636_AAA_2014J,M,0.9933,True,True,39,3
P0007,619503_EEE_2014B,M,0.9926,True,True,35,4
P0007,633746_CCC_2014J,M,0.9923,True,True,39,5
P0007,358182_AAA_2014J,M,0.9921,True,True,39,6
P0007,1938355_AAA_2013J,M,0.9917,True,True,39,7
P0007,628910_CCC_2014J,M,0.9908,True,True,39,8
P0007,544253_AAA_2014J,M,0.9907,True,True,39,9
P0007,2639310_CCC_2014B,M,0.99,True,True,35,10
P0008,568118_GGG_2013J,F,0.8548,True,True,38,1
P0008,632463_DDD_2014B,F,0.8517,True,True,35,2
P0008,513077_BBB_2014B,F,0.8371,True,True,34,3
P0008,566381_DDD_2013J,F,0.8346,True,True,38,4
P0008,2301511_DDD_2014B,F,0.8332,True,True,35,5
P0008,606884_DDD_2014B,F,0.8282,True,True,35,6
P0008,325497_DDD_2013J,F,0.8279,True,True,38,7
P0008,543648_DDD_2013J,F,0.8253,True,True,38,8
P0008,540758_DDD_2013B,F,0.8229,True,True,35,9
P0008,2612342_DDD_2014J,F,0.8224,True,True,38,10
P0009,629240_BBB_2014B,F,0.9653,True,True,34,1
P0009,2691100_BBB_2013J,F,0.9487,True,True,39,2
P0009,569974_GGG_2013J,F,0.9394,True,True,38,3
P0009,570872_CCC_2014B,F,0.9231,True,True,35,4
P0009,367535_BBB_2014B,F,0.923,True,True,34,5
P0009,627550_BBB_2014B,F,0.9228,True,True,34,6
P0009,248716_BBB_2013J,F,0.9217,True,True,39,7
P0009,590920_DDD_2014J,F,0.9198,True,True,38,8
P0009,1533277_BBB_2014J,F,0.9186,True,True,38,9
P0009,572231_DDD_2013J,F,0.9169,True,True,38,10
P0010,598226_GGG_2013J,F,0.9984,True,True,38,1
P0010,472309_CCC_2014J,F,0.9964,True,True,39,2
P0010,678283_BBB_2014J,F,0.9947,True,True,38,3
P0010,610776_BBB_2013J,F,0.9946,True,True,39,4
P0010,496154_DDD_2013J,F,0.9934,True,True,38,5
P0010,497989_DDD_2014J,F,0.9934,True,True,38,6
P0010,496674_BBB_2013B,F,0.9932,True,True,35,7
P0010,563157_BBB_2013B,F,0.993,True,True,35,8
P0010,549078_BBB_2014B,F,0.9924,True,True,34,9
P0010,630497_BBB_2014B,F,0.9921,True,True,34,10
P0011,471925_BBB_2014B,M,0.8188,True,True,34,1
P0011,557237_DDD_2014J,M,0.8166,True,True,38,2
P0011,597529_DDD_2014J,M,0.8075,True,True,38,3
P0011,2481629_DDD_2014J,M,0.8039,True,True,38,4
P0011,634106_DDD_2014B,M,0.8017,True,True,35,5
P0011,570529_GGG_2013J,M,0.8014,True,True,38,6
P0011,648549_BBB_2014J,M,0.7998,True,True,38,7
P0011,1777511_DDD_2013J,M,0.7998,True,True,38,8
P0011,586468_FFF_2013J,M,0.7997,True,True,39,9
P0011,546584_DDD_2014B,M,0.7997,True,True,35,10
P0012,551252_BBB_2014B,F,0.9163,True,True,34,1
P0012,625919_BBB_2014B,F,0.9134,True,True,34,2
P0012,641744_DDD_2014J,F,0.9131,True,True,38,3
P0012,560968_BBB_2013B,F,0.9101,True,True,35,4
P0012,206003_BBB_2014B,F,0.9068,True,True,34,5
P0012,586324_GGG_2013J,F,0.9054,True,True,38,6
P0012,2174129_GGG_2013J,F,0.9048,True,True,38,7
P0012,612721_BBB_2014B,F,0.9031,True,True,34,8
P0012,494789_BBB_2013J,F,0.9027,True,True,39,9
P0012,266331_BBB_2013J,F,0.9025,True,True,39,10
P0013,628545_GGG_2014B,F,0.9812,True,True,35,1
P0013,104054_BBB_2013B,F,0.9787,True,True,35,2
P0013,628299_GGG_2014J,F,0.9781,True,True,39,3
P0013,576738_BBB_2014B,F,0.9765,True,True,34,4
P0013,593875_BBB_2013J,F,0.9759,True,True,39,5
P0013,374266_GGG_2014B,F,0.9738,True,True,35,6
P0013,685487_CCC_2014J,F,0.9727,True,True,39,7
P0013,2035700_GGG_2013J,F,0.9726,True,True,38,8
P0013,565513_BBB_2013J,F,0.9718,True,True,39,9
P0013,634076_GGG_2014B,F,0.9716,True,True,35,10
P0014,532335_BBB_2013J,F,0.9982,True,True,39,1
P0014,24213_DDD_2014B,F,0.9978,True,True,35,2
P0014,579151_DDD_2013J,F,0.9969,True,True,38,3
P0014,597882_BBB_2014B,F,0.9964,True,True,34,4
P0014,387294_GGG_2014B,F,0.9961,True,True,35,5
P0014,416654_BBB_2013B,F,0.9961,True,True,35,6
P0014,237913_BBB_2014J,F,0.9957,True,True,38,7
P0014,525501_BBB_2013B,F,0.9954,True,True,35,8
P0014,2662152_DDD_2014J,F,0.995,True,True,38,9
P0014,39208_BBB_2014J,F,0.9945,True,True,38,10
P0015,2421609_DDD_2013B,M,0.9997,True,True,35,1
P0015,634946_FFF_2014B,M,0.9979,True,True,35,2
P0015,514504_CCC_2014J,M,0.9974,True,True,39,3
P0015,59275_DDD_2013J,M,0.9955,True,True,38,4
P0015,518155_DDD_2013B,M,0.9938,True,True,35,5
P0015,1721891_DDD_2013J,M,0.9922,True,True,38,6
P0015,163332_FFF_2014B,M,0.9918,True,True,35,7
P0015,379769_FFF_2014B,M,0.9916,True,True,35,8
P0015,189720_FFF_2013B,M,0.9912,True,True,35,9
P0015,626878_CCC_2014J,M,0.9911,True,True,39,10
P0016,574065_BBB_2013J,F,0.9012,True,True,39,1
P0016,520006_BBB_2013J,F,0.8982,True,True,39,2
P0016,577824_BBB_2013J,F,0.8945,True,True,39,3
P0016,2680885_BBB_2013J,F,0.8941,True,True,39,4
P0016,325308_BBB_2014B,F,0.8933,True,True,34,5
P0016,624767_GGG_2014J,F,0.8889,True,True,39,6
P0016,619483_GGG_2014B,F,0.8879,True,True,35,7
P0016,478444_BBB_2013B,F,0.8863,True,True,35,8
P0016,634851_BBB_2014B,F,0.8846,True,True,34,9
P0016,587538_BBB_2014B,F,0.8836,True,True,34,10
P0017,564906_BBB_2014B,M,0.9891,True,True,34,1
P0017,518223_BBB_2013J,M,0.9571,True,True,39,2
P0017,625283_DDD_2014J,M,0.9492,True,True,38,3
P0017,537577_DDD_2014J,M,0.948,True,True,38,4
P0017,523762_CCC_2014J,M,0.9293,True,True,39,5
P0017,576841_BBB_2013J,M,0.9266,True,True,39,6
P0017,433864_BBB_2013J,M,0.9257,True,True,39,7
P0017,551183_DDD_2013B,M,0.924,True,True,35,8
P0017,260077_DDD_2014J,M,0.9215,True,True,38,9
P0017,598103_DDD_2014J,M,0.9203,True,True,38,10
P0018,620484_CCC_2014J,M,0.7996,True,True,39,1
P0018,2232340_DDD_2014J,M,0.7981,True,True,38,2
P0018,581253_FFF_2013J,M,0.7958,True,True,39,3
P0018,317801_CCC_2014J,M,0.7956,True,True,39,4
P0018,545245_DDD_2013B,M,0.7956,True,True,35,5
P0018,165733_DDD_2013B,M,0.7945,True,True,35,6
P0018,592634_FFF_2013J,M,0.7908,True,True,39,7
P0018,586750_CCC_2014J,M,0.7896,True,True,39,8
P0018,407453_CCC_2014B,M,0.7888,True,True,35,9
P0018,521742_DDD_2013B,M,0.7874,True,True,35,10
P0019,549196_BBB_2013B,F,0.9618,True,True,35,1
P0019,363396_BBB_2014B,F,0.9559,True,True,34,2
P0019,560238_BBB_2014B,F,0.9527,True,True,34,3
P0019,537558_BBB_2013B,F,0.9457,True,True,35,4
P0019,688199_GGG_2014J,F,0.9398,True,True,39,5
P0019,561459_BBB_2013B,F,0.9398,True,True,35,6
P0019,629891_BBB_2014B,F,0.9381,True,True,34,7
P0019,553840_BBB_2013B,F,0.9352,True,True,35,8
P0019,446755_BBB_2014B,F,0.9347,True,True,34,9
P0019,561161_BBB_2013B,F,0.9336,True,True,35,10
P0020,572274_FFF_2013J,F,0.9991,True,True,39,1
P0020,302924_FFF_2013B,F,0.9978,True,True,35,2
P0020,342234_FFF_2014B,F,0.9952,True,True,35,3
P0020,574671_FFF_2014B,F,0.9951,True,True,35,4
P0020,565698_FFF_2013J,F,0.9945,True,True,39,5
P0020,281638_FFF_2013J,F,0.9944,True,True,39,6
P0020,686317_FFF_2014J,F,0.9943,True,True,39,7
P0020,529569_FFF_2013B,F,0.9939,True,True,35,8
P0020,560329_FFF_2013J,F,0.991,True,True,39,9
P0020,2303413_FFF_2014B,F,0.9905,True,True,35,10
P0021,612721_BBB_2014B,F,0.9793,True,True,34,1
P0021,625919_BBB_2014B,F,0.9753,True,True,34,2
P0021,2213424_BBB_2014B,F,0.9734,True,True,34,3
P0021,630451_BBB_2014B,F,0.9705,True,True,34,4
P0021,561312_BBB_2013J,F,0.97,True,True,39,5
P0021,1939695_BBB_2013J,F,0.9693,True,True,39,6
P0021,552017_BBB_2013B,F,0.9688,True,True,35,7
P0021,2322342_BBB_2013B,F,0.9683,True,True,35,8
P0021,2356809_BBB_2013J,F,0.9661,True,True,39,9
P0021,555015_BBB_2014B,F,0.9647,True,True,34,10
P0022,564213_CCC_2014J,M,0.9985,True,True,39,1
P0022,651648_EEE_2014J,M,0.9972,True,True,39,2
P0022,649979_FFF_2014J,M,0.997,True,True,39,3
P0022,2286312_FFF_2013J,M,0.9965,True,True,39,4
P0022,689389_EEE_2014J,M,0.9964,True,True,39,5
P0022,684669_EEE_2014J,M,0.9958,True,True,39,6
P0022,2615849_EEE_2013J,M,0.9958,True,True,39,7
P0022,500618_FFF_2014J,M,0.9954,True,True,39,8
P0022,553425_FFF_2013B,M,0.9949,True,True,35,9
P0022,472336_EEE_2013J,M,0.9948,True,True,39,10
P0023,528971_DDD_2013J,F,0.7984,True,True,38,1
P0023,411549_DDD_2014J,F,0.7963,True,True,38,2
P0023,493984_DDD_2014B,F,0.7961,True,False,35,3
P0023,558645_DDD_2013B,F,0.7955,True,True,35,4
P0023,504064_DDD_2014J,F,0.7942,True,True,38,5
P0023,574819_DDD_2013J,F,0.7939,True,True,38,6
P0023,688525_DDD_2014J,F,0.7934,True,True,38,7
P0023,327024_DDD_2013B,F,0.7914,True,True,35,8
P0023,602448_BBB_2014J,F,0.7913,True,False,38,9
P0023,572880_DDD_2014J,F,0.7899,True,True,38,10
P0024,31600_AAA_2014J,F,0.999,True,True,39,1
P0024,195940_BBB_2014J,F,0.9984,True,True,38,2
P0024,656711_BBB_2014J,F,0.997,True,True,38,3
P0024,617745_GGG_2014B,F,0.9954,True,True,35,4
P0024,678110_BBB_2014J,F,0.9948,True,True,38,5
P0024,530987_BBB_2013B,F,0.9941,True,True,35,6
P0024,630328_DDD_2014J,F,0.9935,True,True,38,7
P0024,2318161_BBB_2014J,F,0.9917,True,True,38,8
P0024,188766_BBB_2014J,F,0.9912,True,True,38,9
P0024,1942396_AAA_2013J,F,0.9902,True,True,39,10
P0025,581716_EEE_2013J,F,0.9981,True,True,39,1
P0025,594056_BBB_2013J,F,0.9974,True,True,39,2
P0025,555672_BBB_2013B,F,0.9966,True,True,35,3
P0025,625263_CCC_2014J,F,0.9963,True,True,39,4
P0025,620239_GGG_2014J,F,0.9962,True,True,39,5
P0025,2455578_BBB_2013J,F,0.9961,True,True,39,6
P0025,584433_DDD_2013J,F,0.9958,True,True,38,7
P0025,643619_GGG_2014J,F,0.9956,True,True,39,8
P0025,598107_GGG_2013J,F,0.9954,True,True,38,9
P0025,527227_BBB_2013B,F,0.995,True,True,35,10
P0026,652886_BBB_2014J,M,0.9893,True,True,38,1
P0026,2434159_AAA_2014J,M,0.9868,True,True,39,2
P0026,593000_BBB_2014J,M,0.9842,True,True,38,3
P0026,306646_AAA_2014J,M,0.9816,True,True,39,4
P0026,651561_DDD_2014J,M,0.9785,True,True,38,5
P0026,324282_AAA_2013J,M,0.9749,True,True,39,6
P0026,2505501_DDD_2013B,M,0.9748,True,True,35,7
P0026,586550_DDD_2013J,M,0.9741,True,True,38,8
P0026,684250_BBB_2014J,M,0.9726,True,True,38,9
P0026,687698_AAA_2014J,M,0.9723,True,True,39,10
P0027,648117_GGG_2014J,M,0.9971,True,True,39,1
P0027,492480_DDD_2014J,M,0.9966,True,True,38,2
P0027,560301_DDD_2014J,M,0.9963,True,True,38,3
P0027,338894_EEE_2013J,M,0.9957,True,True,39,4
P0027,624938_GGG_2014B,M,0.9957,True,True,35,5
P0027,595659_CCC_2014B,M,0.9953,True,True,35,6
P0027,152320_DDD_2014J,M,0.9947,True,True,38,7
P0027,592221_DDD_2014J,M,0.9936,True,True,38,8
P0027,643758_DDD_2014J,M,0.9935,True,True,38,9
P0027,532531_EEE_2014B,M,0.9927,True,True,35,10
P0028,681938_FFF_2014J,M,0.997,True,True,39,1
P0028,289247_FFF_2014J,M,0.9955,True,True,39,2
P0028,629818_FFF_2014J,M,0.9937,True,True,39,3
P0028,544271_FFF_2014B,M,0.9927,True,True,35,4
P0028,634088_FFF_2014J,M,0.9926,True,True,39,5
P0028,694144_FFF_2014J,M,0.9924,True,True,39,6
P0028,543384_FFF_2013B,M,0.9924,True,True,35,7
P0028,622302_CCC_2014B,M,0.9911,True,True,35,8
P0028,581340_EEE_2013J,M,0.9906,True,True,39,9
P0028,586034_FFF_2013J,M,0.9906,True,True,39,10
P0029,597755_CCC_2014J,M,0.9973,True,True,39,1
P0029,654945_GGG_2014J,M,0.9967,True,True,39,2
P0029,697045_DDD_2014J,M,0.9957,True,True,38,3
P0029,546286_GGG_2014J,M,0.9946,True,True,39,4
P0029,611215_GGG_2013J,M,0.9934,True,True,38,5
P0029,578906_DDD_2013J,M,0.9933,True,True,38,6
P0029,607947_CCC_2014J,M,0.9915,True,True,39,7
P0029,679569_EEE_2014J,M,0.9897,True,True,39,8
P0029,624714_GGG_2014B,M,0.9891,True,True,35,9
P0029,676909_CCC_2014J,M,0.9878,True,True,39,10
P0030,595769_FFF_2013J,M,0.9837,True,True,39,1
P0030,389208_FFF_2013J,M,0.9805,True,True,39,2
P0030,682436_FFF_2014J,M,0.9804,True,True,39,3
P0030,558970_FFF_2013J,M,0.9803,True,True,39,4
P0030,514078_FFF_2014J,M,0.9776,True,True,39,5
P0030,2643574_FFF_2013B,M,0.9771,True,True,35,6
P0030,581523_FFF_2013J,M,0.9759,True,True,39,7
P0030,510759_FFF_2013B,M,0.9743,True,True,35,8
P0030,1440072_FFF_2013B,M,0.9739,True,True,35,9
P0030,276265_FFF_2014J,M,0.9739,True,True,39,10
P0031,629198_GGG_2014B,M,0.9941,True,True,35,1
P0031,611176_CCC_2014B,M,0.9941,True,True,35,2
P0031,623347_DDD_2014B,M,0.9938,True,True,35,3
P0031,645216_CCC_2014J,M,0.9927,True,True,39,4
P0031,622505_BBB_2014B,M,0.9926,True,True,34,5
P0031,544186_BBB_2013B,M,0.9926,True,True,35,6
P0031,685412_DDD_2014J,M,0.9925,True,True,38,7
P0031,334581_DDD_2014J,M,0.9924,True,True,38,8
P0031,571583_GGG_2014J,M,0.9921,True,True,39,9
P0031,607061_DDD_2013J,M,0.9911,True,True,38,10
P0032,679886_CCC_2014J,M,0.998,True,True,39,1
P0032,427413_EEE_2013J,M,0.9946,True,True,39,2
P0032,572515_EEE_2013J,M,0.9943,True,True,39,3
P0032,2686578_CCC_2014B,M,0.9938,True,True,35,4
P0032,689983_EEE_2014J,M,0.9935,True,True,39,5
P0032,1819994_DDD_2013J,M,0.9934,True,True,38,6
P0032,1082062_DDD_2014J,M,0.9932,True,True,38,7
P0032,622500_GGG_2014B,M,0.9932,True,True,35,8
P0032,610234_EEE_2014B,M,0.993,True,True,35,9
P0032,573440_EEE_2013J,M,0.9928,True,True,39,10
P0033,622208_BBB_2014B,F,0.9855,True,True,34,1
P0033,394331_BBB_2014B,F,0.9781,True,True,34,2
P0033,487681_BBB_2013J,F,0.9694,True,True,39,3
P0033,578574_BBB_2014B,F,0.9633,True,True,34,4
P0033,527580_BBB_2013J,F,0.9594,True,True,39,5
P0033,573654_BBB_2013J,F,0.9586,True,True,39,6
P0033,391153_BBB_2014B,F,0.9572,True,True,34,7
P0033,629777_GGG_2014B,F,0.9567,True,True,35,8
P0033,2526784_BBB_2014B,F,0.956,True,True,34,9
P0033,595185_GGG_2013J,F,0.9548,True,True,38,10
P0034,2301511_DDD_2014B,F,0.8469,True,True,35,1
P0034,513077_BBB_2014B,F,0.8376,True,True,34,2
P0034,2612342_DDD_2014J,F,0.8362,True,True,38,3
P0034,325497_DDD_2013J,F,0.8301,True,True,38,4
P0034,1829654_BBB_2014B,F,0.8274,True,True,34,5
P0034,681923_DDD_2014J,F,0.8173,True,True,38,6
P0034,2261142_DDD_2014B,F,0.813,True,True,35,7
P0034,682031_DDD_2014J,F,0.813,True,True,38,8
P0034,2569051_DDD_2013J,F,0.813,True,True,38,9
P0034,623857_BBB_2014B,F,0.8081,True,True,34,10
P0035,520349_DDD_2014J,M,0.8404,True,True,38,1
P0035,630900_DDD_2014J,M,0.839,True,True,38,2
P0035,601956_DDD_2014B,M,0.8284,True,True,35,3
P0035,557237_DDD_2014J,M,0.8247,True,True,38,4
P0035,471925_BBB_2014B,M,0.8244,True,True,34,5
P0035,575855_DDD_2014J,M,0.8194,True,True,38,6
P0035,571131_CCC_2014J,M,0.8191,True,True,39,7
P0035,685294_DDD_2014J,M,0.8167,True,True,38,8
P0035,597529_DDD_2014J,M,0.8131,True,True,38,9
P0035,486022_DDD_2014B,M,0.811,True,True,35,10
P0036,609891_FFF_2014B,M,0.9893,True,True,35,1
P0036,609743_FFF_2013J,M,0.9875,True,True,39,2
P0036,283348_FFF_2013B,M,0.9826,True,True,35,3
P0036,524407_FFF_2013J,M,0.9811,True,True,39,4
P0036,1889752_FFF_2014J,M,0.9805,True,True,39,5
P0036,573864_FFF_2013J,M,0.9797,True,True,39,6
P0036,620740_FFF_2014J,M,0.9791,True,True,39,7
P0036,231024_FFF_2013J,M,0.978,True,True,39,8
P0036,2698535_EEE_2013J,M,0.9779,True,True,39,9
P0036,108330_FFF_2013B,M,0.9774,True,True,35,10
P0037,2522932_DDD_2013J,F,0.9872,True,True,38,1
P0037,552914_BBB_2013B,F,0.9858,True,True,35,2
P0037,480225_DDD_2013B,F,0.9854,True,True,35,3
P0037,591083_CCC_2014J,F,0.9854,True,True,39,4
P0037,620437_DDD_2014B,F,0.983,True,True,35,5
P0037,255747_DDD_2013B,F,0.9795,True,True,35,6
P0037,2624720_DDD_2013B,F,0.9745,True,True,35,7
P0037,368749_DDD_2013B,F,0.9726,True,True,35,8
P0037,1577134_DDD_2013B,F,0.9672,True,True,35,9
P0037,647479_CCC_2014J,F,0.9652,True,True,39,10
P0038,634853_CCC_2014J,M,0.9466,True,True,39,1
P0038,469579_BBB_2014J,M,0.9435,True,True,38,2
P0038,226895_DDD_2014J,M,0.9364,True,True,38,3
P0038,634027_GGG_2014B,M,0.934,True,True,35,4
P0038,553741_CCC_2014J,M,0.932,True,True,39,5
P0038,626998_EEE_2014J,M,0.9287,True,True,39,6
P0038,695049_BBB_2014J,M,0.9217,True,True,38,7
P0038,2442685_BBB_2013B,M,0.921,True,True,35,8
P0038,593000_BBB_2014J,M,0.9174,True,True,38,9
P0038,324282_AAA_2013J,M,0.9149,True,True,39,10
P0039,543648_DDD_2013J,F,0.9875,True,True,38,1
P0039,1829654_BBB_2014B,F,0.9841,True,True,34,2
P0039,325497_DDD_2013J,F,0.9814,True,True,38,3
P0039,2261142_DDD_2014B,F,0.9811,True,True,35,4
P0039,2569051_DDD_2013J,F,0.981,True,True,38,5
P0039,2381845_DDD_2013B,F,0.9809,True,True,35,6
P0039,566381_DDD_2013J,F,0.9806,True,True,38,7
P0039,503838_DDD_2013J,F,0.9804,True,True,38,8
P0039,682031_DDD_2014J,F,0.979,True,True,38,9
P0039,513077_BBB_2014B,F,0.9739,True,True,34,10
P0040,540005_BBB_2013J,F,0.9908,True,True,39,1
P0040,551274_BBB_2013B,F,0.988,True,True,35,2
P0040,2061889_BBB_2013J,F,0.9847,True,True,39,3
P0040,656194_BBB_2014J,F,0.9847,True,True,38,4
P0040,630597_BBB_2014J,F,0.984,True,True,38,5
P0040,676169_BBB_2014J,F,0.9791,True,True,38,6
P0040,612517_BBB_2013J,F,0.9786,True,True,39,7
P0040,561979_BBB_2014J,F,0.9724,True,True,38,8
P0040,680862_BBB_2014J,F,0.971,True,True,38,9
P0040,691514_BBB_2014J,F,0.97,True,True,38,10
P0041,601346_BBB_2013J,F,0.9894,True,True,39,1
P0041,692256_GGG_2014J,F,0.989,True,True,39,2
P0041,339727_GGG_2013J,F,0.9856,True,True,38,3
P0041,623812_GGG_2014J,F,0.9837,True,True,39,4
P0041,589997_BBB_2014B,F,0.9824,True,True,34,5
P0041,628616_BBB_2014B,F,0.9795,True,True,34,6
P0041,484435_CCC_2014J,F,0.9771,True,True,39,7
P0041,634751_GGG_2014B,F,0.9759,True,True,35,8
P0041,2574365_BBB_2014B,F,0.9756,True,True,34,9
P0041,444117_BBB_2013B,F,0.9749,True,True,35,10
P0042,616354_BBB_2014B,F,0.9957,True,True,34,1
P0042,556062_BBB_2013J,F,0.9949,True,True,39,2
P0042,509873_DDD_2013B,F,0.9939,True,True,35,3
P0042,674616_BBB_2014J,F,0.9933,True,True,38,4
P0042,403052_DDD_2014J,F,0.993,True,True,38,5
P0042,650354_BBB_2014J,F,0.9916,True,True,38,6
P0042,589154_BBB_2013J,F,0.9916,True,True,39,7
P0042,1928536_BBB_2014J,F,0.9907,True,True,38,8
P0042,2305957_DDD_2014B,F,0.9903,True,True,35,9
P0042,360876_BBB_2013J,F,0.9901,True,True,39,10
P0043,2688495_BBB_2014J,F,0.9964,True,True,38,1
P0043,618824_EEE_2014B,F,0.9958,True,True,35,2
P0043,476108_CCC_2014B,F,0.9937,True,True,35,3
P0043,493760_FFF_2014B,F,0.9849,True,True,35,4
P0043,642291_CCC_2014J,F,0.9843,True,True,39,5
P0043,481607_BBB_2013B,F,0.9838,True,True,35,6
P0043,639253_EEE_2014J,F,0.9838,True,True,39,7
P0043,588707_CCC_2014B,F,0.9823,True,True,35,8
P0043,611268_BBB_2014J,F,0.9812,True,True,38,9
P0043,547400_FFF_2013B,F,0.9787,True,True,35,10
P0044,622208_BBB_2014B,F,0.8999,True,True,34,1
P0044,394331_BBB_2014B,F,0.8957,True,True,34,2
P0044,487681_BBB_2013J,F,0.8851,True,True,39,3
P0044,578574_BBB_2014B,F,0.8797,True,True,34,4
P0044,527580_BBB_2013J,F,0.877,True,True,39,5
P0044,573654_BBB_2013J,F,0.8742,True,True,39,6
P0044,595185_GGG_2013J,F,0.8724,True,True,38,7
P0044,391153_BBB_2014B,F,0.8716,True,True,34,8
P0044,629777_GGG_2014B,F,0.8711,True,True,35,9
P0044,594928_BBB_2013J,F,0.871,True,True,39,10
P0045,2624720_DDD_2013B,F,0.7999,True,True,35,1
P0045,647479_CCC_2014J,F,0.7989,True,True,39,2
P0045,566381_DDD_2013J,F,0.7985,True,True,38,3
P0045,255747_DDD_2013B,F,0.7977,True,True,35,4
P0045,620437_DDD_2014B,F,0.7972,True,True,35,5
P0045,543648_DDD_2013J,F,0.7934,True,True,38,6
P0045,1577134_DDD_2013B,F,0.7929,True,True,35,7
P0045,591083_CCC_2014J,F,0.7918,True,True,39,8
P0045,550792_FFF_2013B,F,0.7892,True,True,35,9
P0045,480225_DDD_2013B,F,0.7886,True,True,35,10
P0046,551252_BBB_2014B,F,0.9281,True,True,34,1
P0046,625919_BBB_2014B,F,0.9198,True,True,34,2
P0046,641744_DDD_2014J,F,0.9194,True,True,38,3
P0046,560968_BBB_2013B,F,0.9164,True,True,35,4
P0046,494789_BBB_2013J,F,0.9146,True,True,39,5
P0046,206003_BBB_2014B,F,0.9132,True,True,34,6
P0046,634076_GGG_2014B,F,0.9128,True,True,35,7
P0046,586324_GGG_2013J,F,0.9117,True,True,38,8
P0046,2174129_GGG_2013J,F,0.9111,True,True,38,9
P0046,612721_BBB_2014B,F,0.9094,True,True,34,10
P0047,345440_AAA_2014J,M,0.9983,True,True,39,1
P0047,2654302_BBB_2013B,M,0.997,True,True,35,2
P0047,447086_BBB_2013J,M,0.9961,True,True,39,3
