persona_id,zenodo_row_idx,kaggle_row_idx,bridge_distance,zenodo_cluster_id,kaggle_cluster_id,persona_archetype_label,age,gender,learning_style,internet_access,extracurricular,uses_edutech,resources_availability,study_hours_per_week,online_courses_enrolled,attendance_pct,assignment_completion_pct,exam_score_harmonized,final_grade,risk_level,avg_response_time_hours,assignment_score,login_frequency,video_watch_time_min,discussion_posts,peer_interaction_count,task_completion_rate,engagement_level,motivation_level,motivation_index,stress_level_label,stress_score,anxiety_score,resilience_score,post_intervention_mood,dominant_emotion,intervention_type
P0060,3336,59,0.057202,2,1,Steady Performer,28,Male,Auditory,Yes,Yes,Yes,Low,17,15,39.75,73.65,77.59,Merit,medium,8.259563953444502,71.889073864981,17,212.66529741666227,18,16,0.8119,4,Low,3.0,Medium,5.0,1.0,1.0,4.0,Sad,Mindfulness
P0061,4073,60,0.053065,2,0,Resilient Climber,27,Female,Visual,Yes,Yes,No,High,17,10,62.44,68.94,67.73,Pass,medium,12.29345454138493,61.536729510352686,36,126.73951264312436,14,15,0.7881,2,Medium,5.0,Medium,5.0,3.0,2.0,4.0,Normal,Mindfulness
P0062,7745,61,0.036984,0,4,Disengaged Drifter,19,Male,ReadWrite,Yes,Yes,No,High,12,19,72.53,75.72,94.9,Distinction,medium,8.376872393166138,64.55982274983121,40,73.22670117328508,19,14,0.8268,1,High,1.0,Low,3.0,3.0,5.0,3.0,Bored,Peer_Support
P0063,13326,62,0.269697,0,2,Resilient Climber,21,Female,ReadWrite,Yes,Yes,Yes,Medium,26,20,21.73,50.3,71.98,Merit,medium,5.421932124766114,88.61337784187529,4,197.06570865310553,13,34,0.6255,2,Low,4.0,Low,3.0,5.0,5.0,2.0,Surprised,Peer_Support
P0064,1384,63,0.264797,0,4,Routine Complier,24,Female,ReadWrite,Yes,Yes,No,Medium,22,6,88.0,91.81,91.33,Distinction,low,8.11779962903782,53.77635430129435,2,132.29414102045172,5,4,0.9119,1,Low,2.0,High,1.0,1.0,4.0,1.0,Bored,Peer_Support
P0065,8814,64,0.259058,2,0,Resilient Climber,29,Female,Visual,Yes,No,No,Low,22,14,62.07,23.19,87.11,Distinction,medium,23.422798274635404,91.3790608740351,6,48.36010122634581,3,4,0.4424,1,Medium,4.0,Medium,5.0,5.0,5.0,4.0,Scared,Mindfulness
P0066,1169,65,0.098508,2,1,Disengaged Drifter,29,Female,Auditory,Yes,No,Yes,Low,20,14,42.69,9.38,66.85,Pass,medium,10.455608590881518,71.38345429120845,42,271.1659673585518,7,19,0.3892,2,High,1.0,Medium,5.0,1.0,5.0,2.0,Normal,Gamified_Task
P0067,5331,66,0.075712,0,2,Resilient Climber,19,Female,Auditory,Yes,Yes,Yes,High,13,8,21.61,29.3,52.92,Fail,medium,11.228393867741724,79.80319655502976,4,210.45433870679977,16,14,0.4999,2,Medium,5.0,Low,3.0,3.0,1.0,4.0,Sad,Gamified_Task
P0068,6086,67,0.253484,0,1,Disengaged Drifter,18,Male,Kinesthetic,Yes,Yes,Yes,Low,20,14,94.64,53.64,63.22,Pass,medium,14.26053476887622,54.48261156178395,29,208.1233183691896,8,17,0.6721,1,High,1.0,Low,4.0,1.0,4.0,1.0,Happy,CBT_Session
P0069,6277,68,0.260981,1,3,Resilient Climber,23,Female,Auditory,Yes,Yes,Yes,Low,21,14,74.02,54.58,89.86,Distinction,medium,23.61683767352721,66.86795391786399,18,248.54932401438543,0,46,0.6574,4,Medium,5.0,Medium,4.0,1.0,2.0,4.0,Happy,Peer_Support
P0070,9759,69,0.253697,0,2,Flourishing Achiever,22,Female,Auditory,Yes,Yes,No,Low,27,8,19.15,83.13,54.35,Pass,low,6.556829358022549,54.48504595074229,26,163.6018868099735,19,1,0.8744,2,Low,4.0,High,1.0,1.0,2.0,2.0,Bored,Gamified_Task
P0071,634,70,0.359228,0,0,Resilient Climber,24,Male,Kinesthetic,Yes,No,No,Low,16,20,33.14,38.27,70.28,Pass,medium,16.66948854224598,98.07718614405547,44,246.36578423671256,13,28,0.5832,3,Low,4.0,Low,4.0,2.0,3.0,3.0,Surprised,Gamified_Task
P0072,661,71,0.254418,0,1,Disengaged Drifter,24,Female,ReadWrite,Yes,Yes,Yes,Low,29,8,80.5,46.27,88.76,Distinction,medium,17.467647951459654,90.36308246631252,34,154.44631851819167,10,12,0.639,3,High,1.0,Low,4.0,2.0,4.0,1.0,Scared,Gamified_Task
P0073,12166,72,0.252354,0,1,Disengaged Drifter,29,Female,Auditory,Yes,Yes,Yes,High,11,7,69.8,2.66,60.64,Pass,medium,14.968461586240515,72.98163771782302,10,29.480865975555925,2,3,0.3094,1,High,1.0,Low,4.0,3.0,1.0,2.0,Normal,Gamified_Task
P0074,13716,73,0.256892,0,4,Steady Performer,29,Male,Kinesthetic,Yes,Yes,No,Low,9,15,75.81,40.53,80.32,Merit,low,3.0373018116428137,61.18012741618355,36,127.52194552802972,8,41,0.5868,5,Low,3.0,Low,2.0,1.0,3.0,5.0,Sad,Mindfulness
P0075,7808,74,0.129798,0,2,Resilient Climber,22,Female,Visual,Yes,No,Yes,High,18,13,39.56,66.46,57.39,Pass,medium,16.56806234403426,96.6727552624926,14,154.26481925416826,13,44,0.7534,1,Medium,5.0,High,1.0,3.0,3.0,5.0,Sad,Peer_Support
P0076,4199,75,0.108569,0,4,Steady Performer,23,Male,Visual,Yes,Yes,Yes,High,20,8,77.09,1.77,46.79,Fail,medium,2.474178353832036,67.22982978634859,31,218.85874867336577,8,9,0.3109,1,Low,3.0,Low,3.0,2.0,2.0,5.0,Sad,Gamified_Task
P0077,612,76,0.357111,2,1,Disengaged Drifter,28,Male,ReadWrite,Yes,No,Yes,Low,26,18,38.08,30.07,86.9,Distinction,medium,14.71128093964763,58.04922158436874,48,40.90783173731556,3,30,0.4966,4,High,2.0,Medium,4.0,1.0,5.0,3.0,Happy,Gamified_Task
P0078,1719,77,0.365354,0,4,Disengaged Drifter,19,Male,Auditory,Yes,Yes,No,Low,14,18,24.31,20.42,43.98,Fail,medium,18.01036707610008,78.15821942269774,15,50.605376211530206,3,40,0.4456,4,High,2.0,High,2.0,5.0,1.0,4.0,Normal,Gamified_Task
P0079,4290,78,0.256214,0,1,Disengaged Drifter,25,Male,Kinesthetic,Yes,No,Yes,Low,20,20,62.9,4.1,54.66,Fail,medium,5.852307484258859,97.1887060172408,8,86.46830276403877,7,7,0.3294,5,High,1.0,Low,4.0,2.0,4.0,4.0,Happy,Gamified_Task
P0080,4389,79,0.360203,0,2,Flourishing Achiever,29,Male,Kinesthetic,Yes,Yes,Yes,Medium,22,11,95.07,47.02,90.23,Distinction,low,20.357306173483803,50.19151452501613,14,87.28453407755585,1,2,0.6355,5,Low,4.0,Low,2.0,2.0,3.0,4.0,Bored,CBT_Session
P0081,10484,80,0.277318,0,4,Routine Complier,23,Female,Auditory,Yes,No,No,Low,27,6,28.03,21.1,63.42,Pass,low,1.6981375272590982,61.90624216269994,23,222.3335277531281,8,47,0.4272,5,High,2.0,High,1.0,2.0,1.0,3.0,Sad,Gamified_Task
P0082,7955,81,0.357549,2,1,Disengaged Drifter,23,Female,ReadWrite,Yes,Yes,Yes,Medium,16,13,48.05,76.24,98.28,Distinction,medium,20.40769586414104,96.9223820205204,40,82.71189156286336,13,45,0.8202,5,High,2.0,Medium,4.0,1.0,2.0,5.0,Normal,Gamified_Task
P0083,461,82,0.264622,0,4,Steady Performer,26,Male,Kinesthetic,Yes,Yes,Yes,Low,16,10,66.21,84.5,96.48,Distinction,medium,11.587568164783598,58.554298342858104,21,193.5984383736598,8,8,0.8935,5,Low,3.0,Low,2.0,4.0,3.0,4.0,Sad,Gamified_Task
P0084,11622,83,0.017884,2,1,Steady Performer,27,Female,ReadWrite,Yes,Yes,Yes,Low,20,0,54.58,54.34,56.57,Pass,medium,6.004522618427823,55.662172581990994,16,153.3394165400987,15,29,0.6819,1,Low,3.0,Medium,5.0,5.0,3.0,3.0,Happy,CBT_Session
P0085,13994,84,0.253148,2,1,Disengaged Drifter,18,Female,Visual,Yes,Yes,Yes,High,33,6,85.94,98.2,41.73,Fail,medium,4.076897334861265,78.50936078999023,45,176.25536967202618,16,10,0.9872,1,High,2.0,Medium,5.0,5.0,2.0,3.0,Happy,Mindfulness
P0086,13718,85,0.255625,0,4,Disengaged Drifter,29,Male,Kinesthetic,Yes,Yes,No,Medium,9,15,75.6,42.57,82.22,Merit,medium,22.926064854394568,93.0921911647415,18,253.05101932170575,15,34,0.6153,3,High,1.0,Low,2.0,3.0,2.0,2.0,Happy,CBT_Session
P0087,2172,86,0.253873,0,1,Steady Performer,25,Male,Visual,Yes,Yes,Yes,High,16,7,4.15,52.73,67.57,Pass,medium,2.671308514366604,73.85549088469631,47,127.27063544921704,11,36,0.6594,3,Low,3.0,Low,4.0,1.0,2.0,4.0,Sad,Gamified_Task
P0088,2527,87,0.360454,2,1,Disengaged Drifter,27,Female,Auditory,Yes,No,Yes,High,21,8,97.45,98.58,47.53,Fail,medium,5.57914865852629,99.72821283422624,24,233.56429934863843,2,41,0.9925,2,Low,2.0,Medium,4.0,2.0,1.0,5.0,Normal,Mindfulness
P0089,8442,88,0.257405,0,2,Resilient Climber,25,Male,Visual,Yes,Yes,Yes,High,20,20,76.39,20.6,83.29,Merit,medium,8.999913990960057,83.95858497689964,26,132.3904572696993,10,12,0.4621,1,Low,4.0,High,1.0,4.0,1.0,1.0,Normal,Gamified_Task
P0090,10244,89,0.2053,0,2,Steady Performer,29,Male,ReadWrite,No,Yes,Yes,Medium,30,17,88.21,94.24,47.94,Fail,low,15.265401526105771,53.70374536052239,25,112.62269920276232,13,35,0.9598,5,Low,3.0,High,1.0,1.0,1.0,3.0,Bored,Mindfulness
