zenodo_row_idx,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Gender_lbl,Internet_lbl,Extracurricular_lbl,EduTech_lbl,Discussions_lbl,Motivation_lbl,StressLevel_lbl,Resources_lbl,FinalGrade_lbl,LearningStyle_lbl,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm
25,24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,Male,Yes,No,Yes,Yes,Medium,High,High,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,1.0,0.0,1.0
26,24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,Male,Yes,No,Yes,Yes,Medium,High,High,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,1.0,0.0,1.0
27,24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,Male,Yes,No,Yes,No,Low,Medium,High,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,0.5,1.0,0.0
28,24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,Male,Yes,No,Yes,Yes,Low,High,High,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,0.5,0.0,1.0
29,24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,Male,Yes,No,Yes,Yes,Low,High,High,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,0.5,0.0,1.0
30,24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,Male,Yes,Yes,Yes,No,Medium,Medium,Low,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,1.0,1.0,0.0
31,24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,Male,Yes,Yes,Yes,Yes,Medium,High,Low,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,1.0,0.0,1.0
32,24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,Male,Yes,Yes,Yes,Yes,Medium,High,Low,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,1.0,0.0,1.0
33,24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,Male,No,No,Yes,No,High,Medium,High,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,0.0,1.0,0.0
34,24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,Male,No,No,Yes,Yes,High,High,High,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,0.0,0.0,1.0
35,24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,Male,No,No,Yes,Yes,High,High,High,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,0.0,0.0,1.0
36,29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,Male,Yes,Yes,Yes,Yes,Low,Medium,Low,Fail,Auditory,0.7250000000000001,0.5,0.2333333333333334,0.5,1.0,1.0
37,29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,Male,Yes,Yes,Yes,Yes,Low,Medium,Low,Fail,ReadWrite,0.7250000000000001,0.17999999999999994,0.033333333333333326,0.5,1.0,1.0
38,29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,Male,Yes,Yes,Yes,No,Low,Medium,Low,Pass,Auditory,0.7250000000000001,0.9199999999999999,0.3666666666666666,0.5,1.0,0.0
39,29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,Male,Yes,Yes,Yes,Yes,High,Medium,High,Fail,Auditory,0.7250000000000001,0.5,0.2333333333333334,0.0,1.0,1.0
40,29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,Male,Yes,Yes,Yes,Yes,High,Medium,High,Fail,ReadWrite,0.7250000000000001,0.17999999999999994,0.033333333333333326,0.0,1.0,1.0
41,29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,Male,Yes,Yes,Yes,No,High,Medium,High,Pass,Auditory,0.7250000000000001,0.9199999999999999,0.3666666666666666,0.0,1.0,0.0
42,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,Female,Yes,Yes,Yes,Yes,Low,Medium,Low,Fail,Visual,0.8000000000000003,0.26,0.0,0.5,1.0,1.0
43,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,Female,Yes,Yes,Yes,No,Low,Medium,Low,Distinction,ReadWrite,0.8000000000000003,0.72,0.9,0.5,1.0,0.0
44,19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3,Female,Yes,No,Yes,Yes,Low,Medium,Medium,Fail,Visual,0.8000000000000003,0.26,0.0,0.5,1.0,1.0
45,19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,Female,Yes,No,Yes,No,Low,Medium,Medium,Distinction,ReadWrite,0.8000000000000003,0.72,0.9,0.5,1.0,0.0
46,19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3,Female,Yes,Yes,Yes,Yes,Low,Medium,Medium,Fail,Visual,0.8000000000000003,0.26,0.0,0.5,1.0,1.0
47,19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,Female,Yes,Yes,Yes,No,Low,Medium,Medium,Distinction,ReadWrite,0.8000000000000003,0.72,0.9,0.5,1.0,0.0
48,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,Female,Yes,Yes,Yes,Yes,Low,Medium,Low,Fail,Visual,0.8000000000000003,0.26,0.0,0.5,1.0,1.0
49,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,Female,Yes,Yes,Yes,No,Low,Medium,Low,Distinction,ReadWrite,0.8000000000000003,0.72,0.9,0.5,1.0,0.0
50,19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3,Female,Yes,No,Yes,Yes,Medium,Medium,Low,Fail,Visual,0.8000000000000003,0.26,0.0,1.0,1.0,1.0
51,19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,Female,Yes,No,Yes,No,Medium,Medium,Low,Distinction,ReadWrite,0.8000000000000003,0.72,0.9,1.0,1.0,0.0
52,29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3,Male,Yes,Yes,Yes,Yes,High,Medium,High,Fail,ReadWrite,0.6000000000000001,0.14000000000000012,0.13333333333333341,0.0,1.0,1.0
53,29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2,Male,Yes,Yes,Yes,No,High,High,High,Pass,ReadWrite,0.6000000000000001,0.48,0.33333333333333337,0.0,0.0,0.0
54,29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3,Male,Yes,Yes,Yes,Yes,Low,Medium,Low,Fail,ReadWrite,0.6000000000000001,0.14000000000000012,0.13333333333333341,0.5,1.0,1.0
55,29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2,Male,Yes,Yes,Yes,No,Low,High,Low,Pass,ReadWrite,0.6000000000000001,0.48,0.33333333333333337,0.5,0.0,0.0
56,25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2,Male,Yes,Yes,Yes,No,Low,Medium,Medium,Pass,ReadWrite,0.4500000000000002,0.8200000000000001,0.30000000000000004,0.5,1.0,0.0
57,25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2,Male,Yes,Yes,Yes,No,Low,Medium,High,Pass,ReadWrite,0.4500000000000002,0.8200000000000001,0.30000000000000004,0.5,1.0,0.0
58,17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,No,No,Yes,Medium,Medium,Medium,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,1.0,1.0,1.0
59,17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,No,No,Yes,High,Medium,Low,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,0.0,1.0,1.0
60,17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,No,No,Yes,Low,Medium,Low,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,0.5,1.0,1.0
61,17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,Yes,No,Yes,Low,Medium,Low,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,0.5,1.0,1.0
62,17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,No,No,Yes,Medium,Medium,High,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,1.0,1.0,1.0
63,17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,Yes,No,Yes,High,Medium,High,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,0.0,1.0,1.0
64,17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,Male,Yes,Yes,No,Yes,Low,Medium,Medium,Distinction,Visual,0.8500000000000001,0.48,0.8666666666666666,0.5,1.0,1.0
65,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,Male,Yes,Yes,No,No,Low,Medium,Low,Pass,ReadWrite,0.9500000000000002,0.30000000000000004,0.30000000000000004,0.5,1.0,0.0
66,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,Male,Yes,Yes,No,Yes,Low,Medium,Low,Distinction,Kinesthetic,0.9500000000000002,1.0,0.8833333333333334,0.5,1.0,1.0
67,23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,Male,Yes,Yes,No,No,Low,Medium,Low,Pass,ReadWrite,0.9500000000000002,0.30000000000000004,0.30000000000000004,0.5,1.0,0.0
68,23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,Male,Yes,Yes,No,Yes,Low,Medium,Low,Distinction,Kinesthetic,0.9500000000000002,1.0,0.8833333333333334,0.5,1.0,1.0
69,23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2,Male,Yes,No,No,No,Low,Medium,High,Pass,ReadWrite,0.9500000000000002,0.30000000000000004,0.30000000000000004,0.5,1.0,0.0
70,23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0,Male,Yes,No,No,Yes,Low,Medium,High,Distinction,Kinesthetic,0.9500000000000002,1.0,0.8833333333333334,0.5,1.0,1.0
71,23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2,Male,Yes,No,No,No,Low,Medium,Medium,Pass,ReadWrite,0.9500000000000002,0.30000000000000004,0.30000000000000004,0.5,1.0,0.0
72,23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0,Male,Yes,No,No,Yes,Low,Medium,Medium,Distinction,Kinesthetic,0.9500000000000002,1.0,0.8833333333333334,0.5,1.0,1.0
73,23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2,Male,Yes,Yes,No,No,High,Medium,Medium,Pass,ReadWrite,0.9500000000000002,0.30000000000000004,0.30000000000000004,0.0,1.0,0.0
74,23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0,Male,Yes,Yes,No,Yes,High,Medium,Medium,Distinction,Kinesthetic,0.9500000000000002,1.0,0.8833333333333334,0.0,1.0,1.0
75,17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,Male,No,No,No,Yes,Low,Medium,Medium,Merit,Kinesthetic,0.5,0.3600000000000001,0.5499999999999999,0.5,1.0,1.0
76,17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,Male,No,No,Yes,Yes,Low,High,Medium,Pass,Visual,0.5,0.28,0.4833333333333333,0.5,0.0,1.0
77,17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,Male,No,No,Yes,Yes,Low,Low,Medium,Distinction,Auditory,0.5,0.3600000000000001,0.7833333333333333,0.5,0.5,1.0
78,17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,Male,No,No,Yes,No,Low,High,Medium,Distinction,Auditory,0.5,0.28,0.7999999999999999,0.5,0.0,0.0
79,17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,Male,No,No,Yes,Yes,Low,High,Medium,Merit,Kinesthetic,0.5,0.45999999999999996,0.6333333333333334,0.5,0.0,1.0
80,17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,Male,Yes,No,No,Yes,Low,Medium,Low,Merit,Kinesthetic,0.5,0.3600000000000001,0.5499999999999999,0.5,1.0,1.0
81,17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,Male,Yes,No,Yes,Yes,Low,High,Low,Pass,Visual,0.5,0.28,0.4833333333333333,0.5,0.0,1.0
82,17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,Male,Yes,No,Yes,Yes,Low,Low,Low,Distinction,Auditory,0.5,0.3600000000000001,0.7833333333333333,0.5,0.5,1.0
83,17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,Male,Yes,No,Yes,No,Low,High,Low,Distinction,Auditory,0.5,0.28,0.7999999999999999,0.5,0.0,0.0
84,17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,Male,Yes,No,Yes,Yes,Low,High,Low,Merit,Kinesthetic,0.5,0.45999999999999996,0.6333333333333334,0.5,0.0,1.0
85,17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,Male,Yes,No,No,Yes,Low,Medium,Medium,Merit,Kinesthetic,0.5,0.3600000000000001,0.5499999999999999,0.5,1.0,1.0
86,17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,Male,Yes,No,Yes,Yes,Low,High,Medium,Pass,Visual,0.5,0.28,0.4833333333333333,0.5,0.0,1.0
87,17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,Male,Yes,No,Yes,Yes,Low,Low,Medium,Distinction,Auditory,0.5,0.3600000000000001,0.7833333333333333,0.5,0.5,1.0
88,17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,Male,Yes,No,Yes,No,Low,High,Medium,Distinction,Auditory,0.5,0.28,0.7999999999999999,0.5,0.0,0.0
89,17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,Male,Yes,No,Yes,Yes,Low,High,Medium,Merit,Kinesthetic,0.5,0.45999999999999996,0.6333333333333334,0.5,0.0,1.0
90,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,Yes,Yes,No,High,Low,Medium,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.0,0.5,0.0
91,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,Yes,Yes,Yes,High,Low,Medium,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.0,0.5,1.0
92,17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,No,Yes,No,Low,Low,Low,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.5,0.5,0.0
93,17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,No,Yes,Yes,Low,Low,Low,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.5,0.5,1.0
94,17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,No,Yes,No,Medium,Low,Medium,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,1.0,0.5,0.0
95,17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,No,Yes,Yes,Medium,Low,Medium,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,1.0,0.5,1.0
96,17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,Male,No,Yes,Yes,No,Low,Low,Medium,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.5,0.5,0.0
97,17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,Male,No,Yes,Yes,Yes,Low,Low,Medium,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.5,0.5,1.0
98,17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,No,Yes,No,Low,Low,Medium,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.5,0.5,0.0
99,17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,No,Yes,Yes,Low,Low,Medium,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.5,0.5,1.0
100,17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,Yes,Yes,No,High,Low,Medium,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.0,0.5,0.0
101,17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,Yes,Yes,Yes,High,Low,Medium,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.0,0.5,1.0
102,17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,Yes,Yes,No,Low,Low,High,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.5,0.5,0.0
103,17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,Yes,Yes,Yes,Low,Low,High,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.5,0.5,1.0
104,17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,Yes,Yes,No,Low,Low,Low,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.5,0.5,0.0
105,17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,Yes,Yes,Yes,Low,Low,Low,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.5,0.5,1.0
106,17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,Male,No,No,Yes,No,Medium,Low,High,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,1.0,0.5,0.0
107,17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,Male,No,No,Yes,Yes,Medium,Low,High,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,1.0,0.5,1.0
108,17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,Male,Yes,Yes,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.9250000000000003,0.28,0.7833333333333333,0.0,0.5,0.0
109,17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,Male,Yes,Yes,Yes,Yes,High,Low,Low,Merit,ReadWrite,0.9250000000000003,0.40000000000000013,0.7000000000000001,0.0,0.5,1.0
110,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,Yes,No,No,High,Low,Low,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,0.0,0.5,0.0
111,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,Yes,Yes,Yes,High,Low,Low,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,0.0,0.5,1.0
112,21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,Yes,No,No,High,Low,Low,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,0.0,0.5,0.0
113,21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,Yes,Yes,Yes,High,Low,Low,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,0.0,0.5,1.0
114,21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,Yes,No,No,Medium,Low,Low,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,1.0,0.5,0.0
115,21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,Yes,Yes,Yes,Medium,Low,Low,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,1.0,0.5,1.0
116,21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,No,No,No,High,Low,High,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,0.0,0.5,0.0
117,21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,No,Yes,Yes,High,Low,High,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,0.0,0.5,1.0
118,21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,Yes,No,No,High,Low,High,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,0.0,0.5,0.0
119,21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,Yes,Yes,Yes,High,Low,High,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,0.0,0.5,1.0
120,21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,Yes,No,No,Medium,Low,Medium,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,1.0,0.5,0.0
121,21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,Yes,Yes,Yes,Medium,Low,Medium,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,1.0,0.5,1.0
122,21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0,Male,Yes,No,No,No,Low,Low,Medium,Distinction,ReadWrite,0.5750000000000002,0.32000000000000006,0.7666666666666667,0.5,0.5,0.0
123,21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0,Male,Yes,No,Yes,Yes,Low,Low,Medium,Distinction,Auditory,0.5750000000000002,0.54,0.9333333333333335,0.5,0.5,1.0
124,9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,Male,Yes,Yes,Yes,No,Low,Medium,Low,Fail,Visual,0.5500000000000003,0.10000000000000009,0.0,0.5,1.0,0.0
125,9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,Male,Yes,Yes,Yes,No,Low,Medium,Low,Fail,Visual,0.5500000000000003,0.45999999999999996,0.09999999999999998,0.5,1.0,0.0
126,10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,Male,Yes,Yes,Yes,No,Low,Medium,Medium,Pass,ReadWrite,0.4500000000000002,0.41999999999999993,0.4666666666666667,0.5,1.0,0.0
